ts,value
1536320036.00008,0.0979437899999986
1536320036.00058,22.87568427
1536320036.00108,22.636064361
1536320036.00158,-16.205063235
1536320036.00208,-18.724882587
1536320036.00258,7.925986251
1536320036.00308,8.69213056
1536320036.00358,18.38638292
1536320036.00408,7.20346171
1536320036.00458,-32.63894555
1536320036.00507,-14.12009428
1536320036.00557,16.94076493
1536320036.00607,26.82860756
1536320036.00657,16.88379499
1536320036.00707,-17.64104704
1536320036.00757,-24.18908116
1536320036.00807,-18.616819437
1536320036.00857,8.495944967
1536320036.00907,12.704071914
1536320036.00957,6.3580186
1536320036.01007,-12.4512086
1536320036.01057,-25.70824438
1536320036.01107,5.090978741
1536320036.01157,32.33976087
1536320036.01206,19.94358876
1536320036.01256,-0.423098119999999
1536320036.01306,-25.71123033
1536320036.01356,-31.71779584
1536320036.01406,32.64302208
1536320036.01456,27.08910132
1536320036.01506,7.1747690527
1536320036.01556,-9.60190166
1536320036.01606,-25.07207534
1536320036.01656,5.61153477
1536320036.01706,18.8220344904
1536320036.01756,16.16112442
1536320036.01806,-13.955041741
1536320036.01855,-17.74027065
1536320036.01905,-30.93365955
1536320036.01955,-16.870965908
1536320036.02005,30.82846118
1536320036.02055,2.53018658
1536320036.02105,-15.73043822
1536320036.02155,-34.43802025
1536320036.02205,-21.05474715
1536320036.02255,16.23257062
1536320036.02305,32.57630495
1536320036.02355,12.18734405
1536320036.02405,-7.89772749
1536320036.02455,-13.40328238
1536320036.02505,-2.2061534
1536320036.02554,28.91977979
1536320036.02604,1.1385291
1536320036.02654,-11.2183663453
1536320036.02704,-29.74611045
1536320036.02754,-16.02100448
1536320036.02804,-7.34483544
1536320036.02854,9.572879073
1536320036.02904,10.45126916
1536320036.02954,-21.05856229
1536320036.03004,-26.52728798
1536320036.03054,-3.23209954
1536320036.03104,13.18059832
1536320036.03154,13.37181042
1536320036.03204,-26.48978152
1536320036.03253,-23.815953606
1536320036.03303,-11.14112211
1536320036.03353,17.211777711
1536320036.03403,19.34078259
1536320036.03453,11.96065431
1536320036.03503,-3.23154047
1536320036.03553,-23.21619227
1536320036.03603,-4.56475925
1536320036.03653,10.766874199
1536320036.03703,5.73953801
1536320036.03753,-5.72228957
1536320036.03803,-14.04470779
1536320036.03853,-17.40090944
1536320036.03902,0.540587369999999
1536320036.03952,17.251929517
1536320036.04002,-6.71015262
1536320036.04052,-4.30748749
1536320036.04102,-26.86916157
1536320036.04152,-4.68337011
1536320036.04202,11.50762194
1536320036.04252,14.87009896
1536320036.04302,16.56123233
1536320036.04352,-20.79852343
1536320036.04402,-11.394642803
1536320036.04452,-8.59253935
1536320036.04502,3.15371623192
1536320036.04552,6.35768302
1536320036.04601,-13.73850886
1536320036.04651,-21.39097413
1536320036.04701,-13.40396742
1536320036.04751,16.31083868
1536320036.04801,1.70814086
1536320036.04851,-4.199331172
1536320036.04901,-2.26539696
1536320036.04951,-6.80852187
1536320036.05001,5.50353621
1536320036.05051,12.246517038
1536320036.05101,14.274667243
1536320036.05151,0.62242369
1536320036.05201,-22.54667373
1536320036.05251,-7.09666963
1536320036.053,-2.44102237
1536320036.0535,9.087687228
1536320036.054,-10.74813001
1536320036.0545,-6.144501597
1536320036.055,-9.004924877
1536320036.0555,-3.75997461
1536320036.056,11.84147837
1536320036.0565,6.77570145
1536320036.057,5.04385615
1536320036.0575,-10.38762061
1536320036.058,6.624358173
1536320036.0585,-2.24925245
1536320036.059,6.66292842
1536320036.0595,15.7927532
1536320036.06,-19.04391051
1536320036.06049,-14.23064061
1536320036.06099,1.99790599
1536320036.06149,-8.0015738
1536320036.06199,-9.1055007
1536320036.06249,12.62526723
1536320036.06299,8.259107023
1536320036.06349,3.73168398
1536320036.06399,10.374989527
1536320036.06449,-9.03748277
1536320036.06499,-0.35708951
1536320036.06549,-6.848493255
1536320036.06599,4.99707091
1536320036.06649,-5.6871113005
1536320036.06699,2.33629842
1536320036.06748,-8.99163343
1536320036.06798,7.41201212
1536320036.06848,18.2061458
1536320036.06898,-4.53073314
1536320036.06948,-6.34278633
1536320036.06998,-7.98603293
1536320036.07048,5.308707776
1536320036.07098,-10.30969471
1536320036.07148,-7.48727262
1536320036.07198,4.04268289
1536320036.07248,2.70766969
1536320036.07298,-14.40275237
