ts,value
1536316912.00036,-5.60545922
1536316912.00086,19.711881593
1536316912.00136,16.84667001
1536316912.00186,-13.84307929
1536316912.00237,-27.9745339
1536316912.00287,-21.04385184
1536316912.00337,24.22374009
1536316912.00388,24.52932948
1536316912.00438,0.661607446
1536316912.00488,-19.436272884
1536316912.00538,-27.72839882
1536316912.00589,-4.38440851
1536316912.00639,23.39937972
1536316912.00689,30.70950933
1536316912.0074,-23.36062888
1536316912.0079,-33.789114386
1536316912.0084,-14.25279999
1536316912.0089,13.115495901
1536316912.00941,34.928300872
1536316912.00991,6.31902884
1536316912.01041,-21.01385932
1536316912.01092,-27.15184738
1536316912.01142,-2.59037829
1536316912.01192,14.71457075
1536316912.01242,22.17871748
1536316912.01293,-15.38519523
1536316912.01343,-30.7103617106
1536316912.01393,-25.033719961
1536316912.01444,2.02518888
1536316912.01494,2.64001029
1536316912.01544,0.5073092023
1536316912.01595,-5.05700926
1536316912.01645,-23.653481
1536316912.01695,10.28045846
1536316912.01746,14.987554533
1536316912.01796,12.10532644
1536316912.01846,2.37265882
1536316912.01896,-1.74382978
1536316912.01947,-9.23434118
1536316912.01997,-0.73120931
1536316912.02047,9.54527497
1536316912.02098,1.47720671
1536316912.02148,-17.421232139
1536316912.02198,-30.37154383
1536316912.02248,6.35745736
1536316912.02299,3.353049744
1536316912.02349,18.717105027
1536316912.02399,1.29267646
1536316912.0245,-18.1762366
1536316912.025,-17.61633756
1536316912.0255,14.26928805
1536316912.026,4.92136243
1536316912.02651,21.16671112
1536316912.02701,-16.26360925
1536316912.02751,-29.73913247
1536316912.02802,-13.952167517
1536316912.02852,7.035142691
1536316912.02902,9.16698195
1536316912.02953,-8.07263092
1536316912.03003,-23.13869325
1536316912.03053,-10.16995146
1536316912.03103,-1.39969918
1536316912.03154,-7.43448031582
1536316912.03204,0.589771949999999
1536316912.03254,-11.35143236
1536316912.03305,-26.97853137
1536316912.03355,-8.67860078
1536316912.03405,12.95396997
1536316912.03455,0.502095150000001
1536316912.03506,-4.49161671
