ts,value
1536315259.00005,14.4717007
1536315259.00056,17.0491657
1536315259.00106,-12.8243313
1536315259.00156,-25.5041848
1536315259.00206,-2.4883994
1536315259.00256,9.966549
1536315259.00306,2.2051696
1536315259.00356,-3.0846977
1536315259.00406,-26.1330701
1536315259.00456,-18.6734523
1536315259.00506,-7.041811
1536315259.00556,22.5353737
1536315259.00606,13.9120732
1536315259.00656,-6.78267659999999
1536315259.00706,-39.4039688
1536315259.00756,-12.8542862
1536315259.00806,5.08610539999999
1536315259.00856,12.1667385
1536315259.00907,5.7306519
1536315259.00957,-31.8381862
1536315259.01007,3.131672
1536315259.01057,-1.15793610000001
1536315259.01107,5.1472894
1536315259.01157,21.2406426
1536315259.01207,-23.4092903
1536315259.01257,-13.9395256
1536315259.01307,-3.47435570000001
1536315259.01357,-8.7851982
1536315259.01407,20.4389476
1536315259.01457,6.0002995
1536315259.01507,-12.381157
1536315259.01557,-30.6072503
1536315259.01607,7.641428
1536315259.01658,15.9275894
1536315259.01708,1.5472449
1536315259.01758,7.09326549999999
1536315259.01808,-14.5702286
1536315259.01858,-1.47872359999999
1536315259.01908,6.41054149999999
1536315259.01958,16.1194287
1536315259.02008,8.28455930000001
1536315259.02058,-21.4036979
1536315259.02108,-16.2150555
1536315259.02158,-2.4914036
1536315259.02208,12.381897
1536315259.02258,26.1774673
1536315259.02308,-10.5031681
1536315259.02358,-31.6911135
1536315259.02409,-19.0404433
1536315259.02459,16.3730546
1536315259.02509,22.8716984
1536315259.02559,-2.1921882
1536315259.02609,-11.7452983
1536315259.02659,-14.5718632
1536315259.02709,-6.2852231
1536315259.02759,18.7174416
1536315259.02809,5.7520695
1536315259.02859,0.2675476
1536315259.02909,-18.9287014
1536315259.02959,-7.3767357
1536315259.03009,-1.2973957
1536315259.03059,12.7557984
1536315259.0311,16.1861152
1536315259.0316,-25.1623935
1536315259.0321,-18.8997535
1536315259.0326,-9.1590424
1536315259.0331,28.1220397
1536315259.0336,9.5481281
1536315259.0341,4.855217
1536315259.0346,-28.1170921
1536315259.0351,-23.3816567
1536315259.0356,4.44841
1536315259.0361,14.5508003
1536315259.0366,1.875843
1536315259.0371,-6.4822693
1536315259.0376,-12.4166336
1536315259.0381,-3.461256
1536315259.0386,4.90597530000001
1536315259.03911,12.8393478
1536315259.03961,14.8081112
1536315259.04011,-15.4450598
1536315259.04061,-9.2580471
1536315259.04111,-3.1261102
1536315259.04161,15.2252903
1536315259.04211,6.48785980000001
1536315259.04261,-20.3251286
1536315259.04311,-17.3745213
1536315259.04361,-12.905241
1536315259.04411,18.2023202
1536315259.04461,28.839344
1536315259.04511,2.6241265
1536315259.04561,-36.5609035
1536315259.04611,3.5285683
1536315259.04661,-13.2752495
1536315259.04712,14.0025692
1536315259.04762,10.0614109
1536315259.04812,-1.7168179
1536315259.04862,-14.4665546
1536315259.04912,-7.8277645
1536315259.04962,-2.6725464
1536315259.05012,9.8103122
1536315259.05062,2.9547234
1536315259.05112,-8.758997
1536315259.05162,-19.0516548
1536315259.05212,3.993063
1536315259.05262,28.0038394
1536315259.05312,21.4885005
1536315259.05363,2.28211779999999
1536315259.05413,-25.4911479
1536315259.05463,-3.9865437
1536315259.05513,3.31436539999999
1536315259.05563,14.4805221
1536315259.05613,5.0126228
1536315259.05663,-14.2061653
1536315259.05713,-24.72579
1536315259.05763,-28.8182849
1536315259.05813,0.422754299999994
1536315259.05863,17.4999523
1536315259.05913,-1.1552543
1536315259.05963,-20.5062085
1536315259.06013,-12.1456166
1536315259.06063,15.3649674
1536315259.06114,21.3397827
1536315259.06164,18.9154014
1536315259.06214,-9.68100160000001
1536315259.06264,-26.5111332
1536315259.06314,-6.45600130000001
1536315259.06364,-4.358858
1536315259.06414,13.6983261
1536315259.06464,-0.471925800000001
1536315259.06514,-17.217205
1536315259.06564,-14.2093964
1536315259.06614,3.7087097
1536315259.06664,20.2881126
1536315259.06714,12.4205552
1536315259.06764,1.4623756
1536315259.06814,-15.1800118
1536315259.06864,-18.8267537
1536315259.06914,8.6483535
1536315259.06965,14.2227248
1536315259.07015,5.272667
1536315259.07065,-9.9985141
1536315259.07115,-24.3821755
1536315259.07165,-27.8322582
1536315259.07215,7.5267562
1536315259.07265,-6.6977863
1536315259.07315,-9.0490036
1536315259.07365,-8.9822978
1536315259.07415,-26.7292118
1536315259.07465,-5.31871410000001
1536315259.07515,17.3512725
1536315259.07565,-16.1740588
1536315259.07615,-10.0321579
1536315259.07665,-9.7377492
1536315259.07716,2.9889679
1536315259.07766,17.9815445
1536315259.07816,12.7256641
1536315259.07866,-8.12303920000001
1536315259.07916,-16.2271843
1536315259.07966,-13.5534954
1536315259.08016,3.47592540000001
1536315259.08066,10.8230247
1536315259.08116,7.20504
1536315259.08166,-4.026207
1536315259.08216,-13.9789562
1536315259.08266,-9.54407700000001
1536315259.08316,3.7024345
1536315259.08366,-3.19222250000001
1536315259.08416,1.6434478
1536315259.08466,13.8422948
1536315259.08516,-3.2136307
1536315259.08566,1.0798265
1536315259.08616,-3.1852304
1536315259.08666,-0.209808300000006
1536315259.08717,2.2773399
1536315259.08767,3.1244812
1536315259.08817,-9.9180108
1536315259.08867,5.51612099999999
1536315259.08917,13.243515
1536315259.08967,2.65224649999999
1536315259.09017,-4.8518333
1536315259.09067,-7.7550582
1536315259.09117,-13.639883
1536315259.09167,-2.7854233
