ts,value
1536320691.00046,-9.3949929
1536320691.00096,1.592035437
1536320691.00146,-1.38097188
1536320691.00197,21.847728142
1536320691.00247,-0.72741783
1536320691.00297,-16.076715673
1536320691.00347,-9.47108102
1536320691.00397,1.07269601
1536320691.00448,14.91477844
1536320691.00498,1.75648308
1536320691.00548,-14.25252414
1536320691.00598,-8.66420556
1536320691.00648,-9.7055988826
1536320691.00698,0.864388939999998
1536320691.00749,11.553937282
1536320691.00799,-0.525632487999999
1536320691.00849,0.392455819999999
1536320691.00899,-18.17311955
1536320691.00949,-8.54088784
1536320691.01,-5.7798595
1536320691.0105,4.22287711
1536320691.011,3.35255817
1536320691.0115,1.668627369
1536320691.012,-7.3193196
1536320691.0125,-3.04950712
1536320691.01301,3.8022647
1536320691.01351,-3.61267046
1536320691.01401,5.62343244
1536320691.01451,9.86227301
1536320691.01501,7.78059339
1536320691.01551,-4.09487962
1536320691.01602,0.898823759999999
1536320691.01652,-0.89419704
1536320691.01702,0.998393050000001
1536320691.01752,6.65710807
1536320691.01802,3.9142914
1536320691.01853,0.823154420000002
1536320691.01903,-1.11686616
1536320691.01953,-8.73958587
1536320691.02003,-4.79195858
1536320691.02053,10.326482732
1536320691.02103,-2.16018581
1536320691.02154,-3.96242356
1536320691.02204,-3.05949782
1536320691.02254,1.44474316
1536320691.02304,-2.697541201
1536320691.02354,16.64573785
1536320691.02405,-5.51891303
1536320691.02455,-15.550991555
1536320691.02505,-15.512529298
1536320691.02555,-0.752356529999999
1536320691.02605,-16.45961332
1536320691.02655,-3.40816617
1536320691.02706,1.027289389
1536320691.02756,-13.9060989
1536320691.02806,8.330352835
1536320691.02856,2.29171992
1536320691.02906,4.84282536
1536320691.02957,5.37397106
1536320691.03007,-9.96685421
1536320691.03057,-2.83471434
1536320691.03107,-3.1189841
1536320691.03157,5.95513833
1536320691.03207,-4.633289614
1536320691.03258,0.328951840000001
1536320691.03308,-14.04776577
1536320691.03358,4.1230812658
1536320691.03408,1.29023063
1536320691.03458,4.66486074
1536320691.03509,2.85447002
1536320691.03559,-16.41295576
1536320691.03609,4.12715935
1536320691.03659,32.676627174
1536320691.03709,13.41890445
1536320691.0376,-4.29932259
1536320691.0381,-22.31957487
1536320691.0386,-19.31326893
1536320691.0391,0.665542319999998
1536320691.0396,12.32498622
1536320691.0401,15.83506421
1536320691.04061,-20.97072551
1536320691.04111,-19.68243836
1536320691.04161,6.47220862
1536320691.04211,25.9425754
1536320691.04261,6.32345151
1536320691.04311,-5.36665341
1536320691.04362,-30.68140077
1536320691.04412,-9.56085848
1536320691.04462,11.39484525
1536320691.04512,22.53117299
1536320691.04562,1.18304086
1536320691.04613,0.035255460000001
1536320691.04663,-32.24275731
1536320691.04713,13.520086666
1536320691.04763,5.27537393
1536320691.04813,5.69335096
1536320691.04864,12.32386326
1536320691.04914,-20.53916824
1536320691.04964,-10.22641935
1536320691.05014,-10.613765413
1536320691.05064,22.27807355
1536320691.05114,16.16937499
1536320691.05165,1.31070088
1536320691.05215,-14.51002547
1536320691.05265,-4.43393135
1536320691.05315,3.262498081
1536320691.05365,8.3852838
1536320691.05416,-2.856783092
1536320691.05466,-14.35536336
1536320691.05516,-14.08677341
1536320691.05566,-5.40280535
1536320691.05616,-10.520048238
1536320691.05666,6.62056868
1536320691.05717,3.94451642
1536320691.05767,-22.27088754
1536320691.05817,0.854565620000001
1536320691.05867,19.81544945
1536320691.05917,25.42028576
1536320691.05967,11.66300725
1536320691.06018,-5.41485154
1536320691.06068,-29.22549483
1536320691.06118,10.87920616
1536320691.06168,19.22322605
1536320691.06218,18.98143246
1536320691.06269,-3.46393492
1536320691.06319,-26.84542843
1536320691.06369,-18.0559702
1536320691.06419,15.42849122
1536320691.06469,20.68747187
1536320691.0652,12.33548044
1536320691.0657,-7.58305906
1536320691.0662,-35.30152711
1536320691.0667,-16.81482028
1536320691.0672,22.6153188
1536320691.0677,2.713827581
1536320691.06821,-6.22829457
1536320691.06871,-11.94153357
1536320691.06921,-20.63044211
1536320691.06971,-2.807195128
1536320691.07021,2.31873656
1536320691.07072,14.42551929
1536320691.07122,-9.889914755
1536320691.07172,-30.49904344
1536320691.07222,-8.8755555
1536320691.07272,20.27000759
1536320691.07322,6.74661499
1536320691.07373,-10.85550238
1536320691.07423,-17.33111929
1536320691.07473,-32.81736155
1536320691.07523,0.702516510000001
1536320691.07573,33.36571358
1536320691.07623,6.4390106
1536320691.07673,-12.34459024
1536320691.07723,-25.540816589
1536320691.07773,2.15700723
1536320691.07823,15.102660528
1536320691.07873,28.9952419
1536320691.07923,10.130445228
1536320691.07973,-10.785224532
1536320691.08023,-30.24296016
1536320691.08073,-1.68987651
1536320691.08123,9.724907536
1536320691.08173,27.0602789
1536320691.08223,23.738374719
1536320691.08273,-25.54821974
1536320691.08323,-15.7168932
1536320691.08373,25.38243768
1536320691.08423,31.9493928
1536320691.08473,7.935364688
1536320691.08523,-6.57539822
1536320691.08573,-16.85928299
1536320691.08623,-3.95754716
1536320691.08673,22.57710559
1536320691.08723,22.396385281
1536320691.08773,7.704744218
1536320691.08823,-22.72659227
1536320691.08873,-12.91095229
1536320691.08923,17.67282055
1536320691.08973,8.306954847
1536320691.09023,19.83342933
1536320691.09073,-26.29097131
1536320691.09123,-32.33381372
1536320691.09173,-6.08768249
1536320691.09223,29.00201128
1536320691.09273,14.80402777
1536320691.09323,3.30941629
1536320691.09373,-20.07254214
1536320691.09423,-8.702291538
1536320691.09473,8.346112216
1536320691.09523,29.57093618
1536320691.09573,19.86894421
1536320691.09623,-16.89630694
1536320691.09672,-18.80190801
1536320691.09723,14.3578415
1536320691.09773,21.60241703
1536320691.09823,24.29567361
1536320691.09873,10.7475824
1536320691.09923,-19.77201129
1536320691.09972,-7.657083868
1536320691.10022,6.843260852
1536320691.10072,15.92198536
1536320691.10122,22.39747907
1536320691.10172,5.22772544
1536320691.10222,-34.68210728
1536320691.10272,-13.75852043
1536320691.10322,13.619813743
1536320691.10372,8.53212695
1536320691.10422,5.66309025
1536320691.10472,-8.5077453
1536320691.10522,-12.40063811
1536320691.10572,-4.13597442
1536320691.10622,18.265409567
1536320691.10672,16.80035401
1536320691.10722,-3.92216062
1536320691.10772,-10.08103273
1536320691.10822,-31.63062166
1536320691.10872,11.85372162
1536320691.10922,21.9904661
1536320691.10972,12.97992705
1536320691.11022,-27.11314399
1536320691.11072,-14.92691326
1536320691.11122,9.68484635
1536320691.11172,30.39558273
1536320691.11222,21.29021766
1536320691.11272,4.58469491
1536320691.11322,-22.86234452
1536320691.11372,-23.50652839
1536320691.11422,0.818055139999998
1536320691.11472,29.32869581
1536320691.11522,14.08513646
1536320691.11572,-19.76859096
1536320691.11622,-38.97384693
1536320691.11672,-0.50052035
1536320691.11722,18.3707728
1536320691.11772,33.50984573
1536320691.11822,2.20197438
1536320691.11872,-6.173008
1536320691.11922,-23.03978849
1536320691.11972,18.373589346
1536320691.12022,17.37465243
1536320691.12072,1.376934416
1536320691.12122,-23.12218068
1536320691.12172,-30.95324999
1536320691.12222,-14.14080336
1536320691.12272,10.0226061943
1536320691.12322,18.18765405
1536320691.12372,-6.53489637
1536320691.12422,-30.458058395
1536320691.12472,-32.2948189
1536320691.12522,4.50958542
1536320691.12572,18.23430393
1536320691.12622,8.04033011
1536320691.12672,-5.44494007
1536320691.12722,-13.3192127
1536320691.12772,9.43327045
1536320691.12822,10.97205337
1536320691.12872,25.24435835
1536320691.12922,17.342108152
1536320691.12972,-6.708507376
1536320691.13022,-3.258293084
1536320691.13072,18.33374324
1536320691.13122,15.88470794
1536320691.13172,-5.5987498539
1536320691.13222,1.37691238
1536320691.13271,-27.3069028
1536320691.13322,-26.44023707
1536320691.13372,10.40755112
1536320691.13422,17.4115457
1536320691.13472,9.51224655
1536320691.13522,-14.36260991
1536320691.13572,-25.5124697
1536320691.13621,-0.16445697
1536320691.13671,11.20242216
1536320691.13721,7.87556876
1536320691.13771,-0.0397362880000003
1536320691.13821,-12.57575177
1536320691.13871,-9.95869162
1536320691.13921,1.144885083
1536320691.13971,18.61635304
1536320691.14021,2.05415679
1536320691.14071,-16.07880144
1536320691.14121,-20.11475564
1536320691.14171,13.36808682
1536320691.14221,15.401528882
1536320691.14271,7.27626558
1536320691.14321,0.378461559999998
1536320691.14371,-20.22574094
1536320691.14421,-4.18572067
1536320691.14471,-4.32144546
1536320691.14521,0.14153432
1536320691.14571,-4.85700811
1536320691.14621,-1.84525561
1536320691.14671,2.59879731
1536320691.14721,14.23315539
1536320691.14771,7.1518972343
1536320691.14821,3.014765023
1536320691.14871,-14.10666665
1536320691.14921,-5.5989409
1536320691.14971,4.03006482
1536320691.15021,4.69844624
1536320691.15071,8.46480661
1536320691.15121,11.18213649
1536320691.15171,-1.38898038
1536320691.15221,-0.315831481
1536320691.15271,-8.99469708
1536320691.15321,-2.82723602
1536320691.15371,0.330678000000001
1536320691.15421,8.11540711
1536320691.15471,-1.2836715
1536320691.15521,13.04301624
1536320691.15571,4.46901181
1536320691.15621,-3.46068002
1536320691.15671,5.41263244
1536320691.15721,17.03715655
1536320691.15771,-9.75438642
1536320691.15821,-2.25571344
1536320691.15871,-1.63122178
1536320691.15921,6.90168099
1536320691.15971,9.67767604
1536320691.16021,1.7053132
1536320691.16071,1.578859217
1536320691.16121,9.05824618
1536320691.16171,8.2779488
1536320691.16221,17.85530967
1536320691.16271,5.76582541
1536320691.16321,-4.196132601
1536320691.16371,2.15089357
1536320691.16421,-2.50582936
1536320691.16471,12.08380176
1536320691.16521,14.972082011
1536320691.16571,-6.53233006
1536320691.16621,-3.48153654
1536320691.16671,6.13973856
1536320691.16721,20.53717517
1536320691.16771,-1.76137379511
1536320691.16821,1.85210944
1536320691.16871,20.4098132
1536320691.16921,-2.915200505
1536320691.16971,-6.75049784
1536320691.17021,0.0735932000000012
1536320691.17071,-29.756180112
1536320691.17121,3.38358897
1536320691.17171,-1.102555538
1536320691.1722,2.49289131
1536320691.17271,-7.27504372
1536320691.17321,-11.82478775
1536320691.1737,14.12927487
1536320691.1742,11.277317789
1536320691.1747,19.93630555
1536320691.1752,-3.49769784
1536320691.1757,-7.82033211
1536320691.1762,-4.55500841
1536320691.1767,9.27237273
1536320691.1772,12.2894421
1536320691.17771,0.849608419999999
1536320691.17821,11.453228202
1536320691.1787,-4.58115953
1536320691.17921,5.03268529
1536320691.17971,-12.04708193
1536320691.18021,16.71852133
1536320691.18071,9.79785797
1536320691.18121,-0.6725812
1536320691.18171,-1.53361988
1536320691.18221,3.23941709
1536320691.18271,1.77809455
1536320691.18321,-2.54162025
1536320691.18371,5.43739366
1536320691.18421,-5.13935194
1536320691.18471,-25.878820435
1536320691.18521,-8.96503234
1536320691.18571,22.51050762
1536320691.18621,-7.3495665
1536320691.18671,-2.61101246
1536320691.18721,3.5456052
1536320691.18771,-8.01839969
1536320691.18821,9.83129046
1536320691.18871,12.77975897
1536320691.18921,-9.48343872
1536320691.18971,-13.00834079
1536320691.19021,-3.01086135
1536320691.19071,22.364327461
1536320691.19121,14.72806852
1536320691.19171,2.740797113
1536320691.19221,-17.10817519
1536320691.19271,-15.168139681
1536320691.19321,3.93498564
1536320691.19371,5.211903798
1536320691.19421,16.98632737
1536320691.19471,-2.53514917
1536320691.19521,-16.95886159
1536320691.19571,-21.10124895
1536320691.19621,1.82019091
1536320691.19671,12.44823217
1536320691.19721,12.18777011
1536320691.19771,-25.25056696
1536320691.19821,-35.64396427
1536320691.19871,-2.94886926
1536320691.19921,6.51314991
1536320691.19971,26.62434479
1536320691.20021,-7.12226343
1536320691.20071,-18.80276444
1536320691.20121,-17.269451795
1536320691.20171,3.79249835
1536320691.20221,8.678538831
1536320691.20271,0.92268801
1536320691.20321,1.85674238
1536320691.20371,-21.78621172
1536320691.20421,7.07295701
1536320691.20471,10.80337724
1536320691.20521,0.49920464
1536320691.20571,11.91833782
1536320691.20621,-8.29358745
1536320691.20671,-3.46786878
1536320691.20721,6.064456248
1536320691.20771,31.38800001
1536320691.20821,3.122894367
1536320691.20871,-12.45529405
1536320691.20921,-26.06999114
1536320691.20971,-11.49029394
1536320691.21021,13.44952292
1536320691.21071,25.45694396
1536320691.21121,-3.09971187
1536320691.21171,-12.375603616
1536320691.21221,-16.97385359
1536320691.21271,-19.054815114
1536320691.21321,4.24618956
1536320691.21371,10.02272181
1536320691.21421,-13.836929798
1536320691.21471,-17.41726565
1536320691.21521,15.91350981
1536320691.21571,13.81934073
1536320691.21621,11.36599757
1536320691.21671,1.78637263
1536320691.21721,-11.40055173
1536320691.21772,-4.4704723
1536320691.21821,1.5134201
1536320691.21872,10.841230744
1536320691.21922,18.44480659
1536320691.21972,-0.793515199999999
1536320691.22022,-30.33124589
1536320691.22072,-3.7317548
1536320691.22122,17.39613148
1536320691.22172,42.38851122
1536320691.22222,-4.445560199
1536320691.22272,-14.31905639
1536320691.22322,-27.31496217
1536320691.22372,2.4939728
1536320691.22422,31.87715286
1536320691.22472,34.36370057
1536320691.22522,-10.9659109
1536320691.22572,-23.86889747
1536320691.22622,-9.35658776
1536320691.22672,8.30753568
1536320691.22722,26.01107217
1536320691.22772,-2.6210311742
1536320691.22822,-15.1161799
1536320691.22872,-27.07548236
1536320691.22922,0.84418725
1536320691.22972,6.86185318
1536320691.23022,32.21290514
1536320691.23072,5.9138697558
1536320691.23122,-17.82318709
1536320691.23172,-25.255731839
1536320691.23222,14.73502544
1536320691.23272,32.39655161
1536320691.23322,16.46980671
1536320691.23372,-12.1229041
1536320691.23422,-16.598991187
1536320691.23472,-13.50201798
1536320691.23522,14.68346606
1536320691.23572,19.75748754
1536320691.23622,-12.759516265
1536320691.23672,-14.6668875
1536320691.23722,-24.151696962
1536320691.23772,-0.67345718
1536320691.23822,26.05595299
1536320691.23872,15.81016966
1536320691.23922,-13.72548162
1536320691.23972,-18.20148377
1536320691.24022,-11.87166572
1536320691.24072,34.44664101
1536320691.24122,37.16397337
1536320691.24172,12.52933054
1536320691.24222,-26.81533286
1536320691.24272,-21.25157163
1536320691.24322,3.28210072
1536320691.24372,9.35652701
1536320691.24422,22.07200665
1536320691.24472,-7.2775133
1536320691.24522,-33.64553972
1536320691.24572,-28.4624377
1536320691.24622,15.73615318
1536320691.24672,22.3909101
1536320691.24722,13.45639882
1536320691.24772,-16.2578695
1536320691.24822,-23.19509183
1536320691.24872,1.82744689
1536320691.24922,9.85867666
1536320691.24972,30.572565551
1536320691.25022,-14.62539815
1536320691.25072,-30.43188423
1536320691.25122,-24.43415681
1536320691.25172,16.36204127
1536320691.25222,14.9511905
1536320691.25272,-5.92714735
1536320691.25322,-19.7683444
1536320691.25372,-27.5272417
1536320691.25422,-23.38559549
1536320691.25472,9.444369837
1536320691.25522,7.237350894
1536320691.25572,4.61924791
1536320691.25622,-19.21040057
1536320691.25672,-22.12954997
1536320691.25722,15.83803084
1536320691.25773,33.84979007
1536320691.25823,29.23124829
1536320691.25873,-24.56419536
1536320691.25923,-18.83356519
1536320691.25973,-16.926581065
1536320691.26023,16.06471516
1536320691.26073,9.585985857
1536320691.26122,14.94415734
1536320691.26173,-26.26286037
1536320691.26223,-28.62300688
1536320691.26273,8.458326907
1536320691.26323,15.33247091
1536320691.26373,21.82034196
1536320691.26423,-17.7078096
1536320691.26473,-3.4436574
1536320691.26523,-5.49683283
1536320691.26573,5.06562202
1536320691.26623,26.96787823
1536320691.26673,6.33195567
1536320691.26723,-19.10177613
1536320691.26773,-12.57268094
1536320691.26823,1.33917762
1536320691.26873,9.51039535
1536320691.26923,7.94777245
1536320691.26973,-10.03782364
1536320691.27023,-23.08215668
1536320691.27073,-9.20475557
1536320691.27123,20.31097986
1536320691.27173,31.42940136
1536320691.27223,0.272457979999999
1536320691.27273,3.94682213
1536320691.27323,-13.10580516
1536320691.27373,-9.66013908
1536320691.27423,20.2097893
1536320691.27473,19.5456693
1536320691.27523,-14.264670849
1536320691.27573,-25.4401512
1536320691.27623,-23.8186031
1536320691.27673,11.58864021
1536320691.27722,17.88923414
1536320691.27772,2.68167363
1536320691.27822,-8.618423154
1536320691.27872,-18.50846382
1536320691.27922,3.3060746
1536320691.27972,19.86734829
1536320691.28021,6.3381
1536320691.28071,-1.86470698
1536320691.28121,-14.82098103
1536320691.28171,-16.336472287
1536320691.28221,-0.370058570000001
1536320691.28271,14.65476449
1536320691.2832,11.37288508
1536320691.2837,-14.2783597
1536320691.2842,-16.49531461
1536320691.2847,-16.0099516
1536320691.2852,8.5996194
1536320691.28569,-7.48729282
1536320691.28619,-6.9494872116
1536320691.28669,-12.80285883
1536320691.28719,-2.470330427
1536320691.28769,13.97307851
1536320691.28819,15.36658936
1536320691.28868,17.59464434
1536320691.28918,-5.71165467
1536320691.28968,-16.22610669
1536320691.29018,-3.05988929
1536320691.29068,10.92329295
1536320691.29118,5.12703132
1536320691.29167,13.30167779
1536320691.29217,-17.12654651
1536320691.29267,-26.7023553
1536320691.29317,-7.98592831
1536320691.29367,21.668629231
1536320691.29417,10.8303814
1536320691.29466,3.09587002
1536320691.29516,9.081124728
1536320691.29566,-16.41874548
1536320691.29616,11.2570842058
1536320691.29666,4.4035339
1536320691.29715,10.60565186
1536320691.29765,8.74661732
1536320691.29815,-17.306371838
1536320691.29865,-3.8755965
1536320691.29915,2.31162498
1536320691.29964,-0.13807291
1536320691.30014,-2.16371441
1536320691.30064,-23.32198739
1536320691.30114,11.28338621
1536320691.30164,1.10402191
1536320691.30214,2.77224184
1536320691.30263,8.3090091
1536320691.30313,-15.62912587
1536320691.30363,-15.264616902
1536320691.30413,-13.01994119
1536320691.30463,7.64494491
1536320691.30513,-6.5624506
1536320691.30562,-6.26647949
1536320691.30612,-8.13206461
1536320691.30662,3.08955886
1536320691.30712,9.61657044
1536320691.30762,-6.22892137
1536320691.30812,-1.341245039
1536320691.30861,12.1756321259
1536320691.30911,-3.36855804
1536320691.30961,-1.17465902
1536320691.31011,3.795445658
1536320691.31061,17.3768273942
1536320691.31111,11.53978014
1536320691.3116,16.6081982
1536320691.3121,-3.91849305
1536320691.3126,5.7448068
1536320691.3131,10.44007677
1536320691.3136,2.484576106
1536320691.3141,2.1841953243
1536320691.31459,-3.59326589
1536320691.31509,-6.97695183
1536320691.31559,-7.46118692
1536320691.31609,-20.16158817
1536320691.31659,10.02979851
1536320691.31709,8.14789622
1536320691.31758,0.3631525
1536320691.31808,2.18587923
1536320691.31858,1.08046339
1536320691.31908,5.33089073
1536320691.31958,4.05268777
1536320691.32007,3.936869232
1536320691.32057,11.09463548
1536320691.32107,-16.82049135
1536320691.32157,-3.35421825
