ts,value
1538740591.00041,-5.32421751
1538740591.00091,2.96766472
1538740591.00141,-11.80679222
1538740591.00191,3.92674446
1538740591.00241,3.08072472
1538740591.00291,-2.08201118
1538740591.00342,-18.33578304
1538740591.00392,12.90824861
1538740591.00442,-3.35065224
1538740591.00492,-14.00993773
1538740591.00542,2.2786579
1538740591.00592,-1.06120684
1538740591.00642,4.23506376
1538740591.00692,-14.11904362
1538740591.00743,-2.7505848645
1538740591.00793,-2.15573191
1538740591.00843,-17.91417261
1538740591.00893,12.42495254
1538740591.00943,-14.374621416
1538740591.00993,0.610330229999999
1538740591.01043,-8.48909761
1538740591.01094,14.50038762
1538740591.01144,6.39055797
1538740591.01194,8.88521479
1538740591.01244,14.4439733
1538740591.01294,14.26062166
1538740591.01344,11.86555213
1538740591.01394,8.10813112
1538740591.01444,15.79118965
1538740591.01495,8.84597779
1538740591.01545,30.1730063666
1538740591.01595,4.79589701
1538740591.01645,-0.132170729999999
1538740591.01695,4.48839905
1538740591.01745,-11.29179276
1538740591.01795,-10.97711568
1538740591.01845,3.81012824
1538740591.01896,9.82480898
1538740591.01946,-9.30820032
1538740591.01996,-7.175941678
1538740591.02046,-13.52185383
1538740591.02096,-20.53028913
1538740591.02146,-16.69833613
1538740591.02196,-7.43595272
1538740591.02246,-1.29644859
1538740591.02297,-0.362166419999999
1538740591.02347,3.59398651
1538740591.02397,-1.87292457
1538740591.02447,1.06679769
1538740591.02497,5.16713999
1538740591.02547,5.75493809
1538740591.02597,8.17937691
1538740591.02648,-1.3752079
1538740591.02698,9.0713673
1538740591.02748,1.53287218
1538740591.02798,3.95851473
1538740591.02848,-9.82643075
1538740591.02898,4.82280259
1538740591.02948,8.90267503
1538740591.02999,1.65403608
1538740591.03049,-12.169267092
1538740591.03099,-25.84379963
1538740591.03149,-1.0585513
1538740591.03199,5.94085167
1538740591.03249,-18.18238958
1538740591.03299,-25.64870212
1538740591.03349,-7.735391376
1538740591.034,-0.432802029000001
1538740591.0345,-19.74359168
1538740591.035,-21.83612467
1538740591.0355,-12.73479943
1538740591.036,1.802571434
1538740591.0365,0.231293199999996
1538740591.03699,0.715518939999999
1538740591.03749,-9.12774935
1538740591.03799,-9.23610619
1538740591.03849,-11.705832354
1538740591.03899,3.04145385
1538740591.03949,9.29094221
1538740591.03999,13.50783733
1538740591.04049,14.62898483
1538740591.04099,3.03277228
1538740591.04149,13.18717968
1538740591.04198,4.18687956
1538740591.04248,8.44650702
1538740591.04298,18.18350716
1538740591.04348,-2.49082617
1538740591.04398,10.7892317
1538740591.04448,6.57830117
1538740591.04498,-8.33612409
1538740591.04548,-4.68020129
1538740591.04598,-4.20052099
1538740591.04648,-8.447226822
1538740591.04698,-17.65586803
1538740591.04747,0.573320350000001
1538740591.04797,-8.52747771
1538740591.04847,-21.78976391
1538740591.04897,-2.59336612
1538740591.04947,-1.18145323
1538740591.04997,-8.70863058
1538740591.05047,9.07124206
1538740591.05097,10.81916384
1538740591.05147,11.68517229
1538740591.05196,21.9305076
1538740591.05246,10.41803913
1538740591.05296,2.22290612
1538740591.05346,17.12688787
1538740591.05396,13.30490542
1538740591.05446,5.41995193
1538740591.05496,-6.28762717
1538740591.05546,6.53857707
1538740591.05596,-9.93252705
1538740591.05646,-8.89201211
1538740591.05696,-1.42827845
1538740591.05745,13.212399809
1538740591.05795,0.850177519999999
1538740591.05845,-1.92359301
1538740591.05895,2.456625
1538740591.05945,18.796711
1538740591.05995,-23.47424272
1538740591.06045,-3.08658843
1538740591.06095,-19.93380735
1538740591.06145,-8.52722774
1538740591.06194,-3.41911319
1538740591.06244,-4.31450628
1538740591.06294,0.38524204
1538740591.06344,-2.15321921
1538740591.06394,-4.9448912
1538740591.06444,-3.34242445
1538740591.06494,14.789145457
