ts,value
1537804673.46504,3.863989355
1537804673.46554,1.00598299
1537804673.46604,-7.60473467
1537804673.46654,4.393889783
1537804673.46704,9.76715363
1537804673.46754,-5.15651703
1537804673.46803,-8.209827798
1537804673.46853,6.74169243
1537804673.46903,5.065900029
1537804673.46953,8.12854468
1537804673.47003,5.622388806
1537804673.47053,-21.84272015
1537804673.47103,10.587494854
1537804673.47153,9.882781745
1537804673.47203,-1.380583347
1537804673.47253,-2.797097335
1537804673.47303,11.252635
1537804673.47353,-7.05017948
1537804673.47403,8.56644078
1537804673.47453,-3.279983411
1537804673.47503,-3.027002222
1537804673.47553,1.40454661
1537804673.47603,4.690626171
1537804673.47652,10.44166446
1537804673.47702,5.207761446
1537804673.47752,0.187698
1537804673.47802,0.665605759
1537804673.47852,2.72480476
1537804673.47902,0.0687656400000001
1537804673.47952,21.6958506
1537804673.48002,-2.69978713
1537804673.48052,14.31381595
1537804673.48102,10.318027794
1537804673.48152,23.930697826
1537804673.48202,6.85270596
1537804673.48252,-6.67821312
1537804673.48302,1.74726452
1537804673.48352,4.871872547
1537804673.48402,17.22439692
1537804673.48452,8.42109203
1537804673.48501,10.56039584
1537804673.48551,14.90860521
1537804673.48601,5.65097808
1537804673.48651,22.1866696
1537804673.48701,-4.208633822
1537804673.48751,13.982634306
1537804673.48801,-1.38711632
1537804673.48851,-0.892652992
1537804673.48901,14.30875731
1537804673.48951,-1.940892634
1537804673.49001,0.6403569
1537804673.49051,18.48658944
1537804673.49101,19.67827249
1537804673.49151,10.7639481527
1537804673.49201,8.84051228
1537804673.49251,-11.111208325
1537804673.49301,-4.504349936
1537804673.49351,11.065784028
1537804673.494,6.561170337
1537804673.4945,18.30853951
1537804673.495,6.34170305
1537804673.4955,6.224795756
1537804673.496,20.71792555
1537804673.4965,4.35933125
1537804673.497,13.823697513
1537804673.4975,2.128754971
1537804673.498,-5.81832146
1537804673.4985,6.33383965
1537804673.499,10.50788177
1537804673.4995,21.662630379
1537804673.5,9.393621916
1537804673.5005,6.604207185
1537804673.501,2.799396745
1537804673.5015,7.270440287
1537804673.502,4.846506081
1537804673.5025,4.3921362944
1537804673.503,6.11813642
1537804673.50349,13.453558686
1537804673.50399,-6.680469911
1537804673.50449,14.57459331
1537804673.50499,14.460625825
1537804673.50549,24.97597913
1537804673.50599,15.649540707
1537804673.50649,7.10516821
1537804673.50699,5.32557082
1537804673.50749,22.175280919
1537804673.50799,6.898153787
1537804673.50849,6.113880725
1537804673.50899,-0.0816048069999988
1537804673.50949,19.65153967
1537804673.50999,0.32996965
1537804673.51049,5.746910961
1537804673.51099,1.4805778484
1537804673.51149,10.915996436
1537804673.51198,24.93353033
1537804673.51248,13.647482633
1537804673.51298,5.879660273
1537804673.51348,13.46324397
1537804673.51398,-6.45795548
1537804673.51448,6.33854711
1537804673.51498,-8.83529281
1537804673.51548,-2.825604498
1537804673.51598,11.295153698
1537804673.51648,2.05259263
1537804673.51698,11.74223804
1537804673.51748,1.38684011
1537804673.51798,12.49524522
1537804673.51848,0.115874111
1537804673.51898,27.20775278
1537804673.51947,-0.404292580000001
1537804673.51998,6.818108316
1537804673.52047,20.74883291
1537804673.52097,-3.73612845
1537804673.52147,5.26232612
1537804673.52197,2.524778372
1537804673.52247,-3.87509429
1537804673.52297,-21.73778439
1537804673.52347,5.551621118
1537804673.52397,-8.610689581
1537804673.52447,-8.393021764
1537804673.52497,7.83442616
1537804673.52547,-4.32615813
1537804673.52597,-4.51023126
1537804673.52647,12.592046134
1537804673.52697,-12.78227782
1537804673.52747,-3.91213822
1537804673.52797,3.9060427
1537804673.52847,5.59084025
1537804673.52896,3.28356265
1537804673.52946,2.456152499
1537804673.52996,-4.9317352496
1537804673.53046,12.37042666
1537804673.53096,14.58064341
1537804673.53146,-6.412429273
1537804673.53196,11.595729325
1537804673.53246,0.707067368
1537804673.53296,12.04036809
1537804673.53346,5.51489008
1537804673.53396,5.774537988
1537804673.53446,3.490385002
1537804673.53496,18.768656521
1537804673.53546,25.2714403166
1537804673.53596,-4.408608849
1537804673.53646,4.015795351
1537804673.53696,8.20296383
1537804673.53746,-2.87189063
1537804673.53795,2.53380393
1537804673.53845,9.699953503
1537804673.53895,10.88470896
1537804673.53945,0.58731724
1537804673.53995,-4.586339207
1537804673.54045,8.120460909
1537804673.54095,20.74901984
1537804673.54145,0.935456520000001
1537804673.54195,-0.404290564
1537804673.54245,12.080834783
1537804673.54295,16.9175921247
1537804673.54345,1.668890189
1537804673.54395,0.705499838000001
1537804673.54445,15.77928426
1537804673.54495,-6.823237569
1537804673.54544,23.22613331
1537804673.54595,0.925441343
1537804673.54644,-1.387675997
1537804673.54694,15.32188678
1537804673.54744,-0.345974805
1537804673.54794,7.540406261
1537804673.54844,-2.357042129
1537804673.54894,-16.88815641
1537804673.54944,-8.172339788
1537804673.54994,-8.8407436163
1537804673.55044,-1.41794896
1537804673.55094,6.638708145
1537804673.55144,-6.00796998
1537804673.55194,7.74226176
1537804673.55244,3.545853135
1537804673.55294,23.63291168
1537804673.55344,1.6338730184
1537804673.55394,-2.019994648
1537804673.55444,16.55175066
1537804673.55493,4.357926787
1537804673.55543,11.665986479
1537804673.55593,1.46582176
1537804673.55643,7.71363735
1537804673.55693,10.658970127
1537804673.55743,-5.676432273
1537804673.55793,-2.3071210205
1537804673.55843,-6.830018801
1537804673.55893,12.151576862
1537804673.55943,6.78711486
1537804673.55993,9.619848079
1537804673.56043,-13.86130011
1537804673.56093,5.209181908
1537804673.56143,1.090209901
1537804673.56193,10.962507668
1537804673.56243,8.12153876
1537804673.56293,-0.53624118
1537804673.56343,-7.340077314
1537804673.56392,1.12086606
1537804673.56442,8.161447076
1537804673.56492,0.70214307
1537804673.56542,8.8833586
1537804673.56592,13.874435481
1537804673.56642,3.760295779
1537804673.56692,1.854226832
1537804673.56742,2.45497704
1537804673.56792,-8.39360487
1537804673.56842,11.67260034
1537804673.56892,21.64411521
1537804673.56942,-1.744179162
1537804673.56992,-2.3538864134
1537804673.57042,14.274944306
1537804673.57092,5.284606577
1537804673.57142,-4.69434131
1537804673.57192,-5.518977823
1537804673.57242,1.676905516
1537804673.57292,23.69092134
1537804673.57342,2.789578054
1537804673.57392,-12.72052354
1537804673.57442,-5.29298329
1537804673.57492,-6.627427187
1537804673.57542,-0.0371100830000002
1537804673.57592,-20.94980753
1537804673.57642,-2.3915089073
1537804673.57692,1.34714616
1537804673.57742,-5.4413395
1537804673.57792,-2.944937712
1537804673.57842,2.08350033
1537804673.57892,-0.0416059499999997
1537804673.57942,-1.866745131
1537804673.57992,4.022408543
1537804673.58042,-12.01830626
1537804673.58092,-3.39856052
1537804673.58142,2.2607398
1537804673.58192,-2.018061484
1537804673.58242,13.37829304
1537804673.58292,-9.698891941
1537804673.58342,2.011012947
1537804673.58392,-6.2930522
1537804673.58442,-6.1307819
1537804673.58492,8.859989048
1537804673.58542,2.98701156
1537804673.58592,-0.30390203
1537804673.58642,-4.58842349
1537804673.58692,3.05202806
1537804673.58742,0.105671283
1537804673.58792,8.046320082
1537804673.58842,-1.935494051
1537804673.58892,-2.94149065
1537804673.58942,1.78739905
1537804673.58992,6.818507317
1537804673.59042,2.523596598
1537804673.59092,0.434443832999999
1537804673.59142,1.713962194
1537804673.59192,-11.03519284
1537804673.59242,-3.10456443
1537804673.59292,-15.875482241
1537804673.59342,-10.0421078
1537804673.59392,-9.730739649
1537804673.59442,-3.46345055
1537804673.59492,-25.96987866
1537804673.59542,9.318828407
1537804673.59592,-1.016708903
1537804673.59642,-15.55053615
1537804673.59692,1.55364478
1537804673.59742,-6.220758614
1537804673.59792,-11.702462011
1537804673.59842,18.07678234
1537804673.59892,-19.39122664
1537804673.59942,-14.502739676
1537804673.59992,12.667565677
1537804673.60042,-14.95110714
1537804673.60092,-9.03361893
1537804673.60142,-9.79999376
1537804673.60192,-1.72020709
1537804673.60242,-24.38942599
1537804673.60292,-23.67677152
1537804673.60342,3.49497759
1537804673.60392,1.60386491
1537804673.60442,-10.450379107
1537804673.60492,0.0800639246999999
1537804673.60542,-12.00807403
1537804673.60592,-4.545172119
1537804673.60642,-12.19999599
1537804673.60692,-17.946581182
1537804673.60742,2.78585339
1537804673.60792,14.52394878
1537804673.60842,-4.104205968
1537804673.60892,1.487042475
1537804673.60942,-3.99434733
1537804673.60992,-11.179447461
1537804673.61042,-20.98539116
1537804673.61092,-9.807744181
1537804673.61142,-0.225493555
1537804673.61192,-5.29766537
1537804673.61242,-6.859914898
1537804673.61292,-3.14205087
1537804673.61342,-8.39207744
1537804673.61392,-13.46507704
1537804673.61442,-15.21185791
1537804673.61492,-18.560144306
1537804673.61542,-9.45885875
1537804673.61592,-5.228695364
1537804673.61642,-12.790678918
1537804673.61692,-8.048531234
1537804673.61742,-10.78097927
1537804673.61792,-15.33280027
1537804673.61842,-1.6491108
1537804673.61892,-12.16552663
1537804673.61942,5.09753871
1537804673.61992,-13.314638104
1537804673.62042,8.47112203
1537804673.62091,-0.898093611999999
1537804673.62142,-12.943478549
1537804673.62192,-5.07798624
1537804673.62242,-11.77598047
1537804673.62292,-24.82956887
1537804673.62341,-3.772001229
1537804673.62391,5.404791533
1537804673.62441,-26.62872413
1537804673.62492,-8.08976186
1537804673.62542,-13.798925408
1537804673.62592,-11.03059817
1537804673.62642,6.6371895
1537804673.62691,-0.523566821
1537804673.62741,-16.66540027
1537804673.62791,-1.050844618
1537804673.62841,-2.308828112
1537804673.62891,-0.11859417
1537804673.62941,-6.71936131
1537804673.62991,-16.70736432
1537804673.63041,-6.673448492
1537804673.63091,-25.87547636
1537804673.63141,8.24182558
1537804673.63191,2.38721227
1537804673.63241,0.0374730219999999
1537804673.63291,3.163618287
1537804673.63341,1.14807332
1537804673.63391,-26.5915668
1537804673.63441,-11.22402346
1537804673.63491,-13.09146666
1537804673.63541,4.774558623
1537804673.63591,-16.369126978
1537804673.63641,-19.83824755
1537804673.63691,-15.55403114
1537804673.63741,-9.692685395
1537804673.63791,-10.9925634
1537804673.63841,-15.187441051
1537804673.63891,-4.476172798
1537804673.63941,-18.31683088
1537804673.63991,-10.21785986
1537804673.64041,-21.10396862
1537804673.64091,-9.92587782
1537804673.64141,-10.29189503
1537804673.64191,0.178870897
1537804673.64241,-26.25262977
1537804673.64291,-10.296811766
1537804673.64341,-17.91152093
1537804673.64391,-6.749558802
1537804673.64441,-8.513672891
1537804673.64491,-12.44540905
1537804673.64541,4.087693752
1537804673.64591,-9.66079605
1537804673.64641,-3.25195623
1537804673.64691,-20.245631281
1537804673.64741,-11.29717529
