ts,value
1536322147.0002,10.4489022
1536322147.0007,18.27950961
1536322147.0012,10.81293581
1536322147.0017,-6.9524479
1536322147.0022,-27.47709559
1536322147.0027,-10.4662265
1536322147.0032,18.79553605
1536322147.0037,29.29829215
1536322147.00419,20.5486307
1536322147.00469,-10.9935513
1536322147.00519,-16.6945753
1536322147.00569,20.21282775
1536322147.00619,23.45831769
1536322147.00669,22.31132511
1536322147.00719,-15.9146024
1536322147.00769,-36.61265735
1536322147.00819,-12.68405916
1536322147.00869,15.6713046
1536322147.00919,25.662448
1536322147.00969,4.1697025
1536322147.01018,-32.83420661
1536322147.01068,-25.8463461
1536322147.01118,7.8827018
1536322147.01168,36.807094926
1536322147.01218,5.900751
1536322147.01268,1.2782325
1536322147.01318,-7.2302189
1536322147.01368,-9.4285326
1536322147.01418,17.67474936
1536322147.01468,23.31715585
1536322147.01518,17.98040578
1536322147.01568,-8.06025408
1536322147.01617,-17.909335477
1536322147.01667,-21.9402256
1536322147.01717,29.58471101
1536322147.01767,3.5900707
1536322147.01817,-4.5431442
1536322147.01867,-15.81276268
1536322147.01917,-11.59429121
1536322147.01967,10.0010738
1536322147.02017,16.4367315
1536322147.02067,6.3098125
1536322147.02117,2.7661534
1536322147.02167,-34.60184097
1536322147.02216,2.46478370000001
1536322147.02266,16.8671714
1536322147.02316,19.48035244
1536322147.02366,-6.697174
1536322147.02416,0.4893608
1536322147.02466,-8.2710122
1536322147.02516,19.84348772
1536322147.02566,15.4175492
1536322147.02616,20.03196239
1536322147.02666,-9.5708122
1536322147.02716,-27.43364994
1536322147.02766,16.5725975
1536322147.02815,14.4808036
1536322147.02865,-4.5217858
1536322147.02915,2.0602646
1536322147.02965,1.0818634
1536322147.03015,-11.9684839
1536322147.03065,-4.06112958
1536322147.03115,9.7423954
1536322147.03165,24.25759885
1536322147.03215,-19.7053041
1536322147.03265,-22.5495671
1536322147.03315,0.193380399999999
1536322147.03364,7.6925965
1536322147.03414,13.06127165
1536322147.03464,6.0080023
1536322147.03514,-20.69067614
1536322147.03564,-34.93282936
1536322147.03614,27.8215847
