ts,value
1536317571.00035,-7.62441063
1536317571.00084,5.79147532
1536317571.00134,13.02549604
1536317571.00184,30.70381261
1536317571.00234,-4.64424702
1536317571.00284,-30.00784546
1536317571.00334,-6.98962644
1536317571.00384,24.599098051
1536317571.00434,7.40438435
1536317571.00483,3.42066079
1536317571.00533,-29.414296458
1536317571.00583,-36.26316888
1536317571.00633,-12.98651771
1536317571.00683,26.49144555
1536317571.00733,7.330325285
1536317571.00783,-2.52204415
1536317571.00833,-15.94794136
1536317571.00882,-16.42751864
1536317571.00932,0.428891287
1536317571.00982,11.215332703
1536317571.01032,11.737378035
1536317571.01082,-8.41819954
1536317571.01132,-10.50000599
1536317571.01182,-4.42113595
1536317571.01232,3.33082859
1536317571.01281,2.74167732
1536317571.01331,-2.92504025
1536317571.01381,-23.31382229
1536317571.01431,-7.22821382
1536317571.01481,-0.795551339999999
1536317571.01531,5.2488811865
1536317571.01581,11.359337057
1536317571.0163,5.41460986
1536317571.0168,5.80932568
1536317571.0173,5.655724632
1536317571.0178,4.16737151
1536317571.0183,4.357456588
1536317571.0188,12.01435279
1536317571.0193,-4.75417881
1536317571.0198,-3.77529526
1536317571.02029,-1.70057348
1536317571.02079,7.362899853
1536317571.02129,13.11661553
1536317571.02179,-2.17976141
1536317571.02229,-13.26611853
1536317571.02279,-17.2107053
1536317571.02329,7.81905341
1536317571.02379,21.65364164
1536317571.02428,-3.11050046
1536317571.02478,-15.67980964
1536317571.02528,-18.65548083
1536317571.02578,0.35207177
1536317571.02628,16.16454036
1536317571.02678,12.36720527
1536317571.02728,-5.24434465
1536317571.02778,-15.98833464
1536317571.02827,-16.24672649
1536317571.02877,5.54305795
1536317571.02927,15.46103451
1536317571.02977,4.78195429
1536317571.03027,-15.97893214
1536317571.03077,-29.53171881
1536317571.03127,-11.90574743
1536317571.03176,13.63426857
1536317571.03226,5.09133457
1536317571.03276,-3.22943163
1536317571.03326,-16.87898854
1536317571.03376,4.0690879
1536317571.03426,-6.66066501
1536317571.03476,-2.24063493
1536317571.03526,-6.084025657
1536317571.03575,3.38151213
1536317571.03625,-0.772768940000001
1536317571.03675,6.21080137
1536317571.03725,-7.25208519
1536317571.03775,-17.521039968
1536317571.03825,0.92323828
1536317571.03875,-7.13877561
1536317571.03925,0.0900720999999995
1536317571.03975,-0.32330848
1536317571.04024,5.91902661
1536317571.04074,6.03560161
1536317571.04124,-3.25678397
1536317571.04174,0.162419760000001
1536317571.04224,-3.88451386
1536317571.04274,-10.01144316
1536317571.04324,-2.21880579
1536317571.04374,-4.63231802
1536317571.04423,-5.05877828
1536317571.04473,0.54686402
1536317571.04523,-13.396258639
1536317571.04573,8.59368232
1536317571.04623,-11.34679176
1536317571.04673,-9.04739951
1536317571.04723,-4.53555916
1536317571.04772,4.85667033
1536317571.04822,10.35600001
1536317571.04872,-1.23969603
1536317571.04922,12.409654972
1536317571.04972,-5.7173078
1536317571.05022,-8.36228447
1536317571.05072,-16.31116197
1536317571.05122,11.957755555
1536317571.05171,5.293579968
1536317571.05221,3.07034349
1536317571.05271,-0.735150370000001
1536317571.05321,-11.10219673
1536317571.05371,-4.30183077
1536317571.05421,-10.1106336035
1536317571.05471,-10.08082391
