ts,value
1534843885.00037,-7.757234188
1534843885.00087,15.270147621
1534843885.00137,14.78839588
1534843885.00187,21.08972285
1534843885.00237,6.10859801
1534843885.00287,3.300512076
1534843885.00337,15.2434279589
1534843885.00388,-6.59802365
1534843885.00438,3.19187976
1534843885.00488,9.27398312
1534843885.00538,4.608612548
1534843885.00588,-5.53902984
1534843885.00638,-2.01267896
1534843885.00688,-0.90178085
1534843885.00738,10.275820789
1534843885.00788,1.137586175
1534843885.00838,-4.150640792
1534843885.00888,6.51148902
1534843885.00938,-6.5589509
1534843885.00988,12.22311021
1534843885.01038,6.88135529
1534843885.01088,13.13988149
1534843885.01138,10.87793255
1534843885.01188,14.45358586
1534843885.01238,11.614560012
1534843885.01289,1.859034496
1534843885.01339,0.34946633
1534843885.01389,-7.46634876
1534843885.01439,0.35826766
1534843885.01489,13.23293552
1534843885.01539,10.53826905
1534843885.01589,10.427443215
1534843885.01639,2.332000988
1534843885.01689,10.30640375
1534843885.01739,12.962879768
1534843885.01789,13.54751635
1534843885.01839,5.684621269
1534843885.01889,14.273304524
1534843885.01939,-2.264335381
1534843885.01989,2.48718213
1534843885.0204,-0.899107450000001
1534843885.0209,7.92852866
1534843885.0214,-1.57619048
1534843885.0219,6.95142913
1534843885.0224,6.80561018
1534843885.0229,-9.432139827
1534843885.0234,-8.28271107
1534843885.0239,-0.82694721
1534843885.0244,19.67155301
1534843885.0249,35.1661363
1534843885.0254,19.04690004
1534843885.0259,-14.538915
1534843885.0264,0.7322613
1534843885.0269,21.61534142
1534843885.0274,18.733139135
1534843885.0279,20.635183899
1534843885.0284,1.22148193
1534843885.0289,0.32192779
1534843885.02941,7.249519227
1534843885.02991,15.72150608
1534843885.03041,17.511115314
1534843885.03091,-12.049740477
1534843885.03141,-2.16797375
1534843885.03191,-19.98011515
1534843885.03241,12.36189318
1534843885.03291,22.8006229
1534843885.03341,12.75341056
1534843885.03391,4.35860538
1534843885.03441,-15.398306905
1534843885.03491,3.0912447
1534843885.03541,9.08065331
1534843885.03591,11.918231137
1534843885.03641,1.37603283
1534843885.03691,-6.05421508
1534843885.03742,-6.66822718
1534843885.03791,28.75935411
1534843885.03842,24.82734678
1534843885.03892,15.492059875
1534843885.03942,13.59375389
1534843885.03992,-21.61646252
1534843885.04042,14.57307693
1534843885.04092,7.30119824
1534843885.04142,24.17404557
1534843885.04192,16.732970644
1534843885.04242,4.123027561
1534843885.04292,14.98106587
1534843885.04342,9.95016409
1534843885.04392,6.85075665
1534843885.04442,25.42203899
1534843885.04492,3.98660612
1534843885.04542,-15.10348214
1534843885.04593,-4.667661097
1534843885.04643,11.107571118
1534843885.04693,20.11644197
1534843885.04743,12.8127749
1534843885.04793,2.60352239
1534843885.04843,-27.513108401
1534843885.04893,2.0098691
1534843885.04943,7.39164782
1534843885.04993,21.564585359
1534843885.05043,-5.35146761
1534843885.05093,-1.055634791
1534843885.05143,-2.765874874
1534843885.05193,13.742580085
1534843885.05243,17.223238729
1534843885.05293,12.3171249445
1534843885.05343,2.5637725958
1534843885.05393,-21.78395464
1534843885.05444,-1.58181786
1534843885.05494,18.18370036
1534843885.05544,33.24340994
1534843885.05594,6.48036527
1534843885.05644,-8.42734817
1534843885.05694,-21.56035872
1534843885.05744,11.012466451
1534843885.05794,24.07413689
1534843885.05844,18.85655067
1534843885.05894,-6.83075523
1534843885.05944,-14.85108387
1534843885.05994,-0.899431
1534843885.06044,23.32947185
1534843885.06094,26.08577779
1534843885.06144,6.85463238
1534843885.06194,-5.189377722
1534843885.06245,6.66251957
1534843885.06295,17.91029966
1534843885.06345,16.98897719
1534843885.06395,30.710520494
1534843885.06445,-9.321119958
1534843885.06495,-16.51890426
1534843885.06545,0.920377370000001
1534843885.06595,8.944071291
1534843885.06645,18.67133924
1534843885.06695,-2.8531766
1534843885.06745,-11.30843365
1534843885.06795,-16.1868491
1534843885.06845,19.71749284
1534843885.06895,22.0341101
1534843885.06945,6.7828709588
1534843885.06995,-9.24638719
1534843885.07045,-23.90464663
1534843885.07096,-11.978208421
1534843885.07146,26.311462131
1534843885.07196,22.50703811
1534843885.07246,16.31776477
1534843885.07296,-16.20083717
1534843885.07346,-30.95246937
1534843885.07395,-9.21156212
1534843885.07445,26.27712205
1534843885.07495,25.97827787
1534843885.07545,12.69930017
1534843885.07595,5.578577583
1534843885.07645,-7.47877836
1534843885.07694,24.071687593
1534843885.07744,32.752949771
1534843885.07794,30.490876003
1534843885.07844,-14.25704362
1534843885.07894,-15.44261049
1534843885.07944,7.48376084
1534843885.07994,34.51498061
1534843885.08043,11.840193033
1534843885.08093,3.7420053865
1534843885.08143,-23.75373031
1534843885.08193,-14.48139847
1534843885.08243,21.439167089
1534843885.08293,31.63233617
1534843885.08342,20.87364676
1534843885.08392,2.63410115
1534843885.08442,-13.04628097
1534843885.08492,7.658121763
1534843885.08542,27.7332909
1534843885.08592,18.57409355
1534843885.08642,5.733912535
1534843885.08691,-17.655617328
1534843885.08741,-1.062278845
1534843885.08791,0.211257636
1534843885.08841,22.44643614
1534843885.08891,38.874837618
1534843885.08941,4.15194629
1534843885.0899,-21.60727427
1534843885.0904,0.988168652
1534843885.0909,37.313757375
1534843885.0914,34.56006458
1534843885.0919,6.25526238
1534843885.0924,-9.14886999
1534843885.09289,-27.3729088035
1534843885.09339,13.040452262
1534843885.09389,42.70151144
1534843885.09439,39.32896069
1534843885.09489,3.00292157
1534843885.09539,-10.411053411
1534843885.09589,-4.92287683
1534843885.09638,20.12437677
1534843885.09688,29.22581911
1534843885.09738,15.207862226
1534843885.09788,-12.59185814
1534843885.09838,-6.95194471
1534843885.09888,-2.23298264
1534843885.09937,31.6433222589
1534843885.09987,26.39846897605
1534843885.10037,2.50787139
1534843885.10087,-18.01501105
1534843885.10137,0.142664970000001
1534843885.10187,31.31370103
1534843885.10237,34.9549171
1534843885.10286,8.26187933
1534843885.10336,-0.987418577000001
1534843885.10386,-24.323240688
1534843885.10436,-10.52274086
1534843885.10486,34.33480188
1534843885.10536,25.01749944
1534843885.10585,12.214247463
1534843885.10635,-18.950716094
1534843885.10685,-29.20493815
1534843885.10735,15.436753038
1534843885.10785,48.94418673
1534843885.10835,28.8116707
1534843885.10884,-0.35402561
1534843885.10934,-19.61929515
1534843885.10984,-9.52287662
1534843885.11034,29.18263397
1534843885.11084,30.85391078
1534843885.11134,-0.28883649
1534843885.11184,-1.43662023
1534843885.11233,-3.04411006
1534843885.11283,-20.68911947
1534843885.11333,14.57367378
1534843885.11383,27.0232995
1534843885.11433,7.248190883
1534843885.11483,-13.037722223
1534843885.11532,-3.82234096
1534843885.11582,5.846643486
1534843885.11632,23.55871151
1534843885.11682,7.07841516
1534843885.11732,-6.947603339
1534843885.11782,-13.096936237
1534843885.11831,7.99762202
1534843885.11881,24.387948758
1534843885.11931,22.96421148
1534843885.11981,25.83056952
1534843885.12031,-23.326404811
1534843885.12081,-18.68673944
1534843885.1213,15.54680137
1534843885.1218,23.33351181
1534843885.1223,17.62499473
1534843885.1228,3.10863074
1534843885.1233,-15.7922977
1534843885.1238,5.42175076
1534843885.1243,28.327155093
1534843885.12479,21.9986215
1534843885.12529,16.28810738
1534843885.12579,-16.786918663
1534843885.12629,-1.23679683
1534843885.12679,16.5790958069
1534843885.12729,27.73769282
1534843885.12778,21.402100894
1534843885.12828,-9.337976786
1534843885.12878,-8.88791695
1534843885.12928,13.14845479
1534843885.12978,31.31016045
1534843885.13028,33.838272977
1534843885.13077,17.2157218
1534843885.13127,-12.469292526
1534843885.13177,-19.28886274
1534843885.13227,14.94033928
