ts,value
1536317947.00038,-35.63128497
1536317947.00088,-9.61731391
1536317947.00138,8.03881801
1536317947.00188,14.22216443
1536317947.00237,-6.76255226
1536317947.00287,8.078234852
1536317947.00337,-6.85383177
1536317947.00387,3.25930904
1536317947.00437,1.81212425
1536317947.00487,11.173061876
1536317947.00536,-1.247923437
1536317947.00586,-16.8067861
1536317947.00636,-26.38846587
1536317947.00686,-13.48569608
1536317947.00736,0.733198945999999
1536317947.00785,7.90099346
1536317947.00835,9.122290381
1536317947.00885,-23.43809153
1536317947.00935,0.803310189
1536317947.00985,15.340835847
1536317947.01035,8.53295113
1536317947.01084,-3.70528801
1536317947.01134,4.56203914
1536317947.01184,-11.92514709
1536317947.01234,2.34957128
1536317947.01284,4.348014332
1536317947.01334,4.93945981
1536317947.01383,-2.70114135
1536317947.01433,-29.68102927
1536317947.01483,-7.22641222
1536317947.01533,-11.79602229
1536317947.01583,3.79448253
1536317947.01633,5.429832189
1536317947.01682,-9.27208299
1536317947.01732,-5.76890474
1536317947.01782,-9.814370332
1536317947.01832,6.662568254
1536317947.01882,21.94031859
1536317947.01932,-4.93671607
1536317947.01981,-11.87994502
1536317947.02031,-2.82976535
1536317947.02081,-11.432455397
1536317947.02131,-4.90713735
1536317947.02181,9.83183742
1536317947.02231,-4.80174136
1536317947.0228,-9.80209166
1536317947.0233,-4.50677584
1536317947.0238,17.6177115
1536317947.0243,8.38087251
1536317947.0248,-5.084526539
1536317947.02529,-1.81134367
1536317947.02579,-10.25463102
1536317947.02629,-0.988817680000001
1536317947.02679,8.3380618
1536317947.02729,10.20935675
1536317947.02778,-11.76601866
1536317947.02828,-9.20690334
1536317947.02878,-4.5758514
1536317947.02928,-6.16131651
1536317947.02978,7.38269759
1536317947.03028,9.82258392
1536317947.03077,-7.52638683
1536317947.03127,-26.307347328
1536317947.03177,-8.26063089
1536317947.03227,13.674957277
1536317947.03277,16.12979229044
1536317947.03327,-3.6775527
1536317947.03376,-1.10190001
1536317947.03426,-8.64267632
1536317947.03476,-4.23441245
1536317947.03526,-7.989232239
1536317947.03576,6.84225507
1536317947.03626,-0.0231552199999996
1536317947.03675,-3.20273018
1536317947.03725,5.41381877
1536317947.03775,-15.58406949
1536317947.03825,-6.47016965
1536317947.03875,-0.75577
1536317947.03925,-8.42260836
1536317947.03974,-1.81267352
1536317947.04024,-1.62178886
1536317947.04074,5.426528725
1536317947.04124,-5.16039432
1536317947.04174,-4.87777668
1536317947.04224,-8.53253366
1536317947.04273,-0.615713120000001
1536317947.04323,0.497840169999999
1536317947.04373,7.89175367
1536317947.04423,16.546128691
1536317947.04473,13.87115459
1536317947.04522,10.04828978
1536317947.04572,0.0892257070000021
1536317947.04622,-14.46108769
1536317947.04672,-6.72927522
1536317947.04722,2.21048741
1536317947.04772,8.2568147
1536317947.04821,7.0238986
1536317947.04871,-8.56487273
1536317947.04921,-12.10427597
1536317947.04971,-2.18732377
1536317947.05021,1.09847357
1536317947.05071,-0.0981967400000006
1536317947.0512,10.909623981
1536317947.0517,-20.93757693
1536317947.0522,-11.719786643
1536317947.0527,-8.48475938
1536317947.0532,5.67726373
1536317947.05369,5.39147412
1536317947.05419,0.36121869
1536317947.05469,2.96809196
1536317947.05519,4.527247316
1536317947.05569,0.865632579999999
1536317947.05619,17.791517026
1536317947.05668,-2.96288609
1536317947.05718,-2.441719538
1536317947.05768,-14.555138281
1536317947.05818,-17.65743759
1536317947.05868,4.33947272
1536317947.05918,10.5934295
1536317947.05967,-1.09133935
1536317947.06017,-21.64502886
1536317947.06067,-21.456566029
1536317947.06117,7.16660212
1536317947.06167,-2.56702235
1536317947.06217,-2.73443881
1536317947.06266,11.28465638
1536317947.06316,0.13704444
1536317947.06366,6.28123404
1536317947.06416,15.54783203
1536317947.06466,-9.496255524
1536317947.06515,-13.696887986
1536317947.06565,-11.09142209
1536317947.06615,-23.69407319
1536317947.06665,-3.82929378
1536317947.06715,10.4320394
1536317947.06765,-9.71130084
1536317947.06814,-11.687791267
1536317947.06864,-24.624460511
1536317947.06914,-6.36620664
1536317947.06964,3.63143477
1536317947.07014,27.78935005
1536317947.07064,3.48031552
1536317947.07113,-3.48751545
1536317947.07163,-14.373186136
1536317947.07213,-0.5104449
1536317947.07263,25.491020907
1536317947.07313,17.274332748
1536317947.07363,-22.8384492
1536317947.07412,-24.847593231
1536317947.07462,-0.171830659999999
1536317947.07512,9.67694021
1536317947.07562,27.07703638
1536317947.07612,4.84329617
1536317947.07662,-21.196017632
1536317947.07712,-40.76992846
1536317947.07762,-0.247625340000001
1536317947.07811,14.51917651
1536317947.07861,14.91588314
1536317947.07911,7.13936162
1536317947.07961,-28.718898996
1536317947.08011,-4.16707802
1536317947.08061,8.893701819
1536317947.08111,8.13125277
1536317947.08161,-9.4600601
1536317947.08211,-18.832631763
1536317947.08261,-18.557889095
1536317947.08311,8.48729706
1536317947.08361,13.4946313
1536317947.08411,15.822538333
1536317947.08461,-12.502102345
1536317947.08511,-30.14788913
1536317947.08561,-5.17447996
1536317947.08611,16.67624953
1536317947.08661,21.74685339
1536317947.08711,-5.53725384
1536317947.08761,-7.767579437
1536317947.08811,-12.80895925
1536317947.08861,8.62409401
1536317947.08911,14.58641505
1536317947.08961,24.24304084844
1536317947.09011,-6.8459148
1536317947.09061,-14.41214035
1536317947.09111,-17.80881807
1536317947.09161,-2.665202378
1536317947.09211,11.049988545
1536317947.09261,3.62827779
1536317947.09311,-25.216396
1536317947.09361,-25.98315786
1536317947.09411,-15.0556731
1536317947.09461,19.69864084
1536317947.09511,13.92987916
1536317947.09561,-4.49757481
1536317947.09611,-18.506174178
1536317947.09661,-18.67488484
1536317947.09711,10.45870401
1536317947.0976,26.530878364
1536317947.0981,19.39530702
1536317947.0986,-14.931590062
1536317947.0991,-21.50287771
1536317947.0996,-9.940984755
1536317947.1001,0.350803023000001
1536317947.1006,11.204380621
1536317947.1011,-21.28089109
1536317947.1016,-17.061390708
1536317947.1021,-13.627941938
1536317947.1026,3.76871107
1536317947.1031,19.87883261
1536317947.1036,6.05125469
1536317947.1041,-8.37039777
1536317947.1046,-18.397951931
1536317947.1051,-0.462228539999999
1536317947.1056,11.31831217
1536317947.1061,15.27283476
1536317947.1066,-2.142792535
1536317947.1071,-16.13368274
1536317947.1076,-29.69835501
1536317947.1081,9.643386068
1536317947.1086,25.48009801
1536317947.1091,18.75652979
1536317947.1096,-7.92821934
1536317947.1101,-25.12018849
1536317947.1106,-16.465391793
1536317947.1111,-0.130333419999999
1536317947.1116,29.19644354
1536317947.1121,10.65092062
1536317947.1126,-13.36765242
1536317947.1131,-16.790663233
1536317947.1136,5.167150084
1536317947.1141,23.3226943
1536317947.11459,19.93926302
1536317947.11509,-4.94358373
1536317947.11559,-30.89930806
1536317947.1161,-10.42577652
1536317947.11659,25.47415236
1536317947.11709,16.64790942
1536317947.11759,-0.912282686000001
1536317947.11809,-8.481454518
1536317947.11859,-10.45482628
1536317947.11909,-7.77458093
1536317947.11959,12.48940613
1536317947.12009,21.38012982
1536317947.12059,-3.6948786
1536317947.12109,-20.79543163
1536317947.12159,-8.46008091
1536317947.12209,30.704467238
1536317947.12259,21.30609776
1536317947.12309,26.07741208
1536317947.12359,-8.75601771
1536317947.12409,-27.41285922
1536317947.12459,-4.783373778
1536317947.12509,5.97602047
1536317947.12559,26.27056648
1536317947.12609,-11.9912976
1536317947.12659,-21.79455471
1536317947.12709,-11.064066977
1536317947.12759,-2.67297268
1536317947.12809,15.49568009
1536317947.12859,3.37345216
1536317947.12909,-20.36174415
1536317947.12959,-16.94522384
1536317947.13009,-3.55504596
1536317947.13059,26.536331715
1536317947.13109,34.88215535
1536317947.13159,6.61256026
1536317947.13209,-15.07340405
1536317947.13259,-11.28739067
1536317947.13309,-13.09481
1536317947.13358,6.074129601
1536317947.13408,-6.16605881
1536317947.13458,-11.65594424
1536317947.13508,-20.68750383
1536317947.13558,-14.411432555
1536317947.13608,3.2511862321
1536317947.13658,7.658641933
1536317947.13708,11.27308072
1536317947.13758,-11.50853541
1536317947.13808,-22.84350862
1536317947.13858,14.17794917
1536317947.13908,15.76289295
1536317947.13958,5.69037696
1536317947.14008,3.96106768
1536317947.14058,-4.50942514
1536317947.14108,-1.67553702
1536317947.14158,-0.68846249
1536317947.14208,25.27722962
1536317947.14258,8.14453414
1536317947.14308,-16.76161388
1536317947.14358,-36.27105085
1536317947.14408,-7.88424372
1536317947.14458,10.8040139
1536317947.14508,23.73072098
1536317947.14558,9.116178721
1536317947.14608,4.859401242
1536317947.14658,-12.96439098
1536317947.14708,32.86366163
1536317947.14758,28.28250364
1536317947.14808,21.19263123
1536317947.14858,-3.12943176
1536317947.14908,-28.6972592
1536317947.14958,-15.66960357
1536317947.15008,23.0284836
1536317947.15058,11.61025875
1536317947.15108,23.470618977
1536317947.15158,-18.822897675
1536317947.15208,-13.5240507
1536317947.15258,11.76741448
1536317947.15307,35.966432821
1536317947.15357,18.29047405
1536317947.15407,-15.94604154
1536317947.15457,-7.55364286
1536317947.15507,-2.8971018511
1536317947.15557,7.142121962
1536317947.15607,7.89764019
1536317947.15657,10.677727363
1536317947.15707,-15.0204773
1536317947.15757,-5.501393782
1536317947.15807,-1.14096617
1536317947.15857,11.38731056
1536317947.15907,-1.01255092
1536317947.15957,10.86639544
1536317947.16007,-16.14541148
1536317947.16057,-5.32777499
1536317947.16107,5.62232028
1536317947.16157,19.59200523
1536317947.16207,3.71077967
1536317947.16257,1.94365977
1536317947.16307,4.5965171
1536317947.16357,-1.985987306
