ts,value
1536319884.67551,8.91094124
1536319884.67601,-9.813818754
1536319884.67651,3.20257926
1536319884.67701,10.16861385
1536319884.67751,-5.329024878
1536319884.67801,-14.470583136
1536319884.67851,10.39466059
1536319884.67901,-6.7182752596
1536319884.67951,6.0753926
1536319884.68001,4.285689236
1536319884.68051,15.72901512
1536319884.68101,-10.18598199
1536319884.68151,-12.33213593
1536319884.68201,-4.26333928
1536319884.68251,-5.519833257
1536319884.68301,1.780902444
1536319884.68351,-2.579277688
1536319884.68401,0.934770494000001
1536319884.68451,-7.1696413542
1536319884.68501,-3.027356779
1536319884.68551,-8.46610641
1536319884.68601,0.232570404999999
1536319884.68651,-15.66986445
1536319884.68701,4.061560307
1536319884.68751,0.169706412
1536319884.68801,11.428423921
1536319884.68851,-9.286559603
1536319884.68901,1.33340121
1536319884.68951,-17.7077328
1536319884.69002,-15.483133201
1536319884.69052,7.346609472
1536319884.69102,-8.357611857
1536319884.69152,14.35280919
1536319884.69202,0.71171808
1536319884.69252,-5.99637735
1536319884.69302,-6.903522348
1536319884.69352,7.311550494
1536319884.69402,-7.89426852
1536319884.69452,-5.74625171
1536319884.69502,-14.162692211
1536319884.69552,-3.365468258
1536319884.69602,8.6522677421
1536319884.69652,-13.98237776
1536319884.69702,4.617660288
1536319884.69752,-9.996826263
1536319884.69802,-1.04353607
1536319884.69852,6.59426271
1536319884.69902,-1.838392676
1536319884.69952,-5.83390021
1536319884.70002,-16.370895688
1536319884.70052,-3.395838328
1536319884.70102,4.396604476
1536319884.70152,-11.89751959
1536319884.70202,-4.81339979
1536319884.70252,-15.413383545
1536319884.70302,-11.823342824
1536319884.70352,-2.511814358
1536319884.70402,-9.2823255
1536319884.70452,-0.357910149999999
1536319884.70502,-11.939072626
1536319884.70552,-8.80802393
1536319884.70602,2.38153779
1536319884.70652,-6.26115685
1536319884.70702,-4.43702602
1536319884.70753,-9.31900777
1536319884.70802,-9.329000441
1536319884.70852,-2.8793143
1536319884.70903,-5.151840154
1536319884.70953,-14.77228483
1536319884.71003,-9.4745245
1536319884.71053,15.38828539
1536319884.71103,3.24559581
1536319884.71153,-1.88057065
1536319884.71203,-15.22852218
1536319884.71253,-2.7352765503
1536319884.71303,-4.553424599
1536319884.71353,-12.11671781
1536319884.71403,4.61367988
1536319884.71453,-16.33428742
1536319884.71503,-6.78557074
1536319884.71553,-9.77245498
1536319884.71603,-15.5138533
1536319884.71653,-6.60883612
1536319884.71703,0.925712257
1536319884.71753,-20.695221852
1536319884.71803,4.094004098
1536319884.71853,-14.80947364
1536319884.71903,-5.62338733
1536319884.71953,0.175524504
1536319884.72003,-8.943139244
1536319884.72053,4.8744280804
1536319884.72103,-15.50646067
1536319884.72153,-5.412095847
1536319884.72203,-25.10812877
1536319884.72253,-3.32495713
1536319884.72303,-13.904424964
1536319884.72353,4.97542083
1536319884.72403,-19.76330185
1536319884.72453,-9.09651494
1536319884.72503,5.030797532
1536319884.72553,-3.439764678
1536319884.72603,-1.90550959
1536319884.72653,-19.80061568
1536319884.72703,-15.06509567
1536319884.72754,3.9762516
1536319884.72803,-14.28318787
1536319884.72854,-14.291778536
1536319884.72904,-11.676908375
1536319884.72954,-8.04436946
1536319884.73004,-7.63920496808
1536319884.73054,-2.199758591
1536319884.73104,-5.55165875
1536319884.73154,-16.74604317808
1536319884.73204,-18.050927566
1536319884.73254,13.41383255
1536319884.73304,-5.7442987
1536319884.73354,-2.469894493
1536319884.73404,14.90018893
1536319884.73454,-20.406153732
1536319884.73504,-0.895406029
1536319884.73554,1.22036731
1536319884.73604,-5.255119206
1536319884.73654,-6.603438945
1536319884.73704,-0.26633268
1536319884.73754,-1.307940069
1536319884.73804,5.656798783
1536319884.73854,-4.033964771
1536319884.73904,-2.98524284
1536319884.73954,-11.602953731
1536319884.74004,-4.41361583
1536319884.74054,-25.589080149
1536319884.74104,-12.9075112796
1536319884.74154,1.261518005
1536319884.74204,-2.80448174
1536319884.74254,-1.167161524
1536319884.74304,-1.24834573
1536319884.74354,-13.49477053
1536319884.74404,-11.926691852
1536319884.74454,1.788695523
1536319884.74504,-9.642201767
1536319884.74554,-13.059508252
1536319884.74604,4.35413756
1536319884.74654,-2.468257482
1536319884.74705,-5.001115861
1536319884.74755,3.9818422763
1536319884.74805,-7.98452425
1536319884.74855,-7.270832063
