ts,value
1536315027.00031,11.9015007
1536315027.00081,11.3796196
1536315027.0013,-7.5275746
1536315027.0018,-27.86148843
1536315027.0023,-10.8812486
1536315027.0028,8.4434796
1536315027.00329,19.2434826
1536315027.00379,6.2724266
1536315027.00429,-13.0796404
1536315027.00479,-21.0317211
1536315027.00529,-12.5249805
1536315027.00578,16.5715618
1536315027.00628,21.2192268
1536315027.00678,6.4115314
1536315027.00728,-31.61031631
1536315027.00777,-10.4390249
1536315027.00827,3.2047215
1536315027.00877,1.5008202
1536315027.00927,9.07459439999999
1536315027.00976,6.2908878
1536315027.01026,-29.42494242
1536315027.01076,-6.956873
1536315027.01126,24.5722504
1536315027.01175,33.56580541
1536315027.01225,-4.8067322
1536315027.01275,-16.5902672
1536315027.01325,-21.55817987
1536315027.01375,6.2582511
1536315027.01424,28.4180326
1536315027.01474,21.9418773
1536315027.01524,-17.118084
1536315027.01574,-35.23998925
1536315027.01624,-6.4845152
1536315027.01673,15.5171375
1536315027.01723,43.51089283
1536315027.01773,5.2716981
1536315027.01823,-6.739973
1536315027.01872,-10.25891779
1536315027.01922,5.2560807
1536315027.01972,30.3937282
1536315027.02022,22.0410718
1536315027.02071,-4.0259056
1536315027.02121,-27.749562227
1536315027.02171,-2.2362155
1536315027.02221,-5.2221661
1536315027.02271,12.7981119
1536315027.0232,6.6726942
1536315027.0237,-4.025691
1536315027.0242,-12.3410941
1536315027.0247,1.0879383
1536315027.02519,17.3373241
1536315027.02569,16.5338383
1536315027.02619,-8.9905901
1536315027.02669,-20.2492814
1536315027.02718,-25.90989115
1536315027.02768,4.1150893
1536315027.02818,32.0755863
1536315027.02868,36.7971191
1536315027.02918,-9.920968
1536315027.02967,-10.5544147
1536315027.03017,-0.000505499999999159
1536315027.03067,8.658186
1536315027.03117,25.3614483
1536315027.03166,4.1742993
1536315027.03216,-24.16416124
1536315027.03266,-25.99292158
1536315027.03316,-8.7441082
1536315027.03365,15.4867591
1536315027.03415,24.190875
1536315027.03465,1.1256065
1536315027.03515,-18.20146175
1536315027.03565,-12.0842095
1536315027.03614,31.17259265
1536315027.03664,33.9399615
1536315027.03714,24.7563285
1536315027.03764,-17.9374075
1536315027.03813,-24.71631334
1536315027.03863,1.2998867
1536315027.03913,34.7603512
1536315027.03963,-2.9902181
1536315027.04012,-15.0265808
1536315027.04062,-27.22993275
1536315027.04112,-16.5178185
1536315027.04162,24.1736841
1536315027.04212,8.6986047
1536315027.04261,2.5762196
1536315027.04311,-5.2637119
1536315027.04361,-22.8104171
1536315027.04411,5.0736713
1536315027.04461,20.811905
1536315027.0451,23.2323074
1536315027.0456,-6.4433537
1536315027.0461,-24.65110108
1536315027.04659,-10.1417274
1536315027.04709,14.1686325
1536315027.04759,22.3429012
1536315027.04809,0.134729300000011
1536315027.04859,-23.5598096
1536315027.04908,-6.7559136
1536315027.04958,-18.0939621
1536315027.05008,29.1607284
1536315027.05058,16.9349747
1536315027.05107,9.8815765
1536315027.05157,-32.0955267
1536315027.05207,-26.1008292
1536315027.05257,14.7323836
1536315027.05307,15.9991836
1536315027.05356,10.3164158
1536315027.05406,-9.053915
1536315027.05456,-0.671451600000005
1536315027.05506,-4.1312465
1536315027.05555,1.5747319
1536315027.05605,26.3230018
1536315027.05655,-6.1446399
1536315027.05705,-4.2873459
1536315027.05754,-13.6167355
1536315027.05804,-13.940691
1536315027.05854,11.3449135
1536315027.05904,-6.2766743
1536315027.05954,11.2861634
1536315027.06003,-13.1608783
1536315027.06053,-11.6531964
1536315027.06103,3.7168112
1536315027.06153,11.9060535
1536315027.06202,13.610218
1536315027.06252,-15.8420268
1536315027.06302,-8.2444744
1536315027.06352,4.0284863
1536315027.06402,7.5412025
1536315027.06451,3.6905709
1536315027.06501,-1.7204781
1536315027.06551,-12.7696763
1536315027.06601,-5.6635542
1536315027.0665,3.1053525
1536315027.067,14.6741352
1536315027.0675,3.5442676
1536315027.068,-18.2385254
1536315027.0685,-1.50854784
1536315027.06899,-5.2267857
1536315027.06949,25.0948763
1536315027.06999,11.8363628
1536315027.07049,0.893115099999999
1536315027.07098,-11.8538989
1536315027.07148,7.8649082
1536315027.07198,2.7581654
1536315027.07248,5.6077632
1536315027.07297,13.6158628
1536315027.07347,4.4287186
1536315027.07397,-6.8973484
1536315027.07447,1.56674
1536315027.07497,0.905845599999999
1536315027.07546,7.0276547
1536315027.07596,-2.9061146
1536315027.07646,-11.6334419
1536315027.07696,-4.7017727
1536315027.07747,13.243311
1536315027.07797,21.0446911
1536315027.07846,4.1388455
1536315027.07897,-1.7016239
1536315027.07947,-0.432053599999998
1536315027.07997,4.9136123
1536315027.08047,8.2983493
1536315027.08097,-14.9400749
1536315027.08147,6.3737431
1536315027.08197,-0.192630700000002
1536315027.08247,-5.443882
1536315027.08297,-0.175857499999999
1536315027.08347,9.2567825
1536315027.08397,4.9647351
1536315027.08447,-13.9805373
1536315027.08497,5.4713612
1536315027.08547,-1.8294277
1536315027.08597,-0.916879699999999
1536315027.08647,25.3985806
1536315027.08697,6.4967689
1536315027.08747,9.3864908
1536315027.08797,-12.187748
1536315027.08847,15.7627478
1536315027.08897,-5.7726383
1536315027.08947,15.1458722
1536315027.08998,6.0448359
1536315027.09048,-0.235930400000001
1536315027.09098,-8.0604057
1536315027.09148,5.4168149
1536315027.09198,3.241519
1536315027.09248,1.87356
1536315027.09298,-4.5841198
1536315027.09348,7.73781677
1536315027.09398,13.0428075
1536315027.09448,8.440935
1536315027.09498,6.7243176
1536315027.09548,9.8425789
1536315027.09598,15.7737789
1536315027.09648,-12.4159413
1536315027.09698,-11.5504093
