ts,value
1536322802.00032,-1.1861744
1536322802.00082,9.5115576
1536322802.00132,0.559308100000001
1536322802.00182,-4.6938629
1536322802.00233,21.62831213
1536322802.00283,13.31746862
1536322802.00333,-1.9305687
1536322802.00383,-20.3702116
1536322802.00434,5.5964421
1536322802.00484,3.66260721
1536322802.00534,0.48510263
1536322802.00585,4.7449227
1536322802.00635,1.71302132
1536322802.00685,4.9583121
1536322802.00735,-2.01392463
1536322802.00785,9.3251447
1536322802.00836,1.6490975
1536322802.00886,9.35113721
1536322802.00936,17.39821199
1536322802.00987,-6.79544838
1536322802.01037,5.62739748
1536322802.01087,-3.6026964
1536322802.01137,-12.47562408
1536322802.01187,17.29060638
1536322802.01238,-5.55925463
1536322802.01288,-5.9200973
1536322802.01338,4.0087137
1536322802.01389,3.2284336
1536322802.01439,2.4270125
1536322802.01489,1.522666
1536322802.01539,5.20230965
1536322802.0159,-6.70080757
1536322802.0164,8.4698829
1536322802.0169,2.87431157
1536322802.0174,9.39250424
1536322802.0179,6.14854146
1536322802.01841,-1.7844735
1536322802.01891,-12.6965875
1536322802.01941,2.6251068
1536322802.01992,3.6270437
1536322802.02042,-6.82211539
1536322802.02092,-8.02103283
1536322802.02142,5.1145954
1536322802.02192,9.2152825
1536322802.02243,21.81971454
1536322802.02293,-1.97881555
1536322802.02343,-2.64563087
1536322802.02394,0.214601480000001
1536322802.02444,4.4729452
1536322802.02494,19.25094653
1536322802.02544,-3.3071881
1536322802.02595,-3.6420613
1536322802.02645,4.02283626
1536322802.02695,-15.47584961
1536322802.02745,-18.8268306
1536322802.02796,-20.12504384
1536322802.02846,16.7116547
1536322802.02896,3.5856084
1536322802.02946,-8.61333651
1536322802.02997,6.75347814
1536322802.03047,-0.366543700000001
1536322802.03097,-12.89960853
1536322802.03147,10.5950814
1536322802.03198,10.770336797
1536322802.03248,11.33476262
1536322802.03298,-2.0413351
1536322802.03348,-3.6357175
1536322802.03399,12.6869669
1536322802.03449,6.03927371
1536322802.03499,9.83218752
1536322802.03549,-10.7250558
1536322802.036,-5.766779
1536322802.0365,-15.24181082
1536322802.037,5.2654553
1536322802.0375,-1.86592244
1536322802.03801,-2.45560073
1536322802.03851,10.77122691
1536322802.03901,-4.9428359
1536322802.03951,-0.17838386
1536322802.04002,12.44825839
1536322802.04052,5.47941589
1536322802.04102,6.2762098
1536322802.04152,-5.1741771
1536322802.04203,-1.11722762
1536322802.04253,16.8320837
1536322802.04303,5.63109302
1536322802.04353,0.404437980000001
1536322802.04404,-3.76390069
1536322802.04454,3.3596039
1536322802.04504,4.32105066
1536322802.04554,-2.82494443
1536322802.04605,-1.01388502
1536322802.04655,1.8315955
1536322802.04705,2.57899581
1536322802.04755,-6.7500448
1536322802.04806,2.38949011
1536322802.04856,14.67650797
1536322802.04906,-0.338624450000001
1536322802.04956,14.7291727
