ts,value
1536315305.00023,10.1909218
1536315305.00073,-15.6391297
1536315305.00123,-3.27249149999999
1536315305.00173,-6.2059975
1536315305.00222,-7.3850098
1536315305.00272,16.9085808
1536315305.00322,-6.1709214
1536315305.00372,-10.1360054
1536315305.00422,0.2674217
1536315305.00471,-18.0231323
1536315305.00521,0.131969500000004
1536315305.00571,-3.379547
1536315305.00621,-6.32251740000001
1536315305.00671,5.9498863
1536315305.0072,-1.8013268
1536315305.0077,-9.3383179
1536315305.0082,2.92274860000001
1536315305.0087,0.0536384999999981
1536315305.0092,-1.1824036
1536315305.00969,2.9241295
1536315305.01019,-4.4651719
1536315305.01069,-12.1719399
1536315305.01119,-0.251750899999998
1536315305.01169,1.4390908
1536315305.01218,-14.5331288
1536315305.01268,9.36794279999999
1536315305.01318,3.0883561
1536315305.01368,-11.6844635
1536315305.01417,-1.0993614
1536315305.01467,-8.0087586
1536315305.01517,0.600237
1536315305.01567,-2.9236851
1536315305.01617,4.97706229999999
1536315305.01666,-10.0444318
1536315305.01716,-0.0185317999999981
1536315305.01766,-2.63292310000001
1536315305.01816,11.6086922
1536315305.01866,-9.1518554
1536315305.01915,-22.0174941
1536315305.01965,-8.0389881
1536315305.02015,6.49210169999999
1536315305.02065,2.0691452
1536315305.02115,-6.54553989999999
1536315305.02164,-12.689537
1536315305.02214,-2.2581749
1536315305.02264,-8.94281579999999
1536315305.02314,-2.59628110000001
1536315305.02364,6.97522160000001
1536315305.02413,0.346799700000002
1536315305.02463,0.799251499999997
1536315305.02513,-10.9418068
1536315305.02563,-3.9444656
1536315305.02613,-1.3692417
1536315305.02662,-8.6297895
1536315305.02712,-0.552581699999998
1536315305.02762,-5.8351592
1536315305.02812,2.13309289999999
1536315305.02862,-5.39413080000001
1536315305.02911,24.8357373
1536315305.02961,-10.4147568
1536315305.03011,-10.2383079
1536315305.03061,-18.5423089
1536315305.03111,3.7075614
1536315305.0316,15.8100204
1536315305.0321,-26.8309879
1536315305.0326,-10.8676433
1536315305.0331,-12.6498795
1536315305.0336,2.3412552
1536315305.03409,7.0308763
1536315305.03459,11.1139965
1536315305.03509,1.5067157
1536315305.03559,7.6135483
1536315305.03609,0.829460099999999
1536315305.03658,2.7792855
1536315305.03708,6.987587
1536315305.03758,7.5687752
1536315305.03808,-26.0396518
1536315305.03857,-26.6812496
1536315305.03907,22.0457115
1536315305.03957,2.62694940000001
1536315305.04007,1.88132479999999
1536315305.04057,-15.5716153
1536315305.04106,-8.781517
1536315305.04156,-20.1518612
1536315305.04206,18.6529693
1536315305.04256,6.33715050000001
1536315305.04306,-2.0421867
1536315305.04356,-27.2395478
1536315305.04405,-9.0145645
1536315305.04455,24.770443
1536315305.04505,23.6132432
1536315305.04555,29.1824951
1536315305.04604,-19.4460067
1536315305.04654,-10.2060909
1536315305.04704,-2.78022
1536315305.04754,9.5562019
1536315305.04804,25.1851216
1536315305.04853,-1.1409149
1536315305.04903,-11.6576843
1536315305.04953,-8.1915627
1536315305.05003,10.4221153
1536315305.05053,6.6506138
1536315305.05102,2.4757919
1536315305.05152,0.324249200000004
1536315305.05202,-24.1134606
1536315305.05252,-13.9583531
1536315305.05302,6.20782850000001
1536315305.05351,14.5244179
1536315305.05401,6.54143909999999
1536315305.05451,-37.4137612
1536315305.05501,-15.1236763
1536315305.05551,-9.1190968
1536315305.05601,27.2296773
1536315305.0565,0.728382099999997
1536315305.057,-24.5230579
1536315305.0575,-30.3391285
1536315305.058,-12.9671345
1536315305.0585,8.3691292
1536315305.05899,5.3485928
1536315305.05949,9.2547913
1536315305.05999,-10.8708039
1536315305.06049,1.5126037
1536315305.06099,-0.682239599999996
1536315305.06148,4.75778580000001
1536315305.06198,26.5816002
1536315305.06248,4.330841
1536315305.06298,-30.2920361
1536315305.06347,-19.9708842
1536315305.06397,1.8694267
1536315305.06447,-0.137580999999997
1536315305.06497,14.0963897
1536315305.06547,-23.28059
1536315305.06596,-24.6374245
1536315305.06646,-6.4760362
1536315305.06696,12.4404315
1536315305.06746,7.1796665
1536315305.06796,0.689079300000003
1536315305.06845,-18.398487
1536315305.06895,-27.5380307
1536315305.06945,20.8361206
1536315305.06995,11.162716
1536315305.07045,19.4788705
1536315305.07094,-26.791401
1536315305.07144,-24.8026141
1536315305.07194,-13.9944115
1536315305.07244,3.0407524
1536315305.07294,9.7503262
1536315305.07343,-21.4515609
1536315305.07393,-28.1233159
1536315305.07443,-34.6191769
1536315305.07493,0.7143783
1536315305.07543,27.3563518
1536315305.07593,3.778656
1536315305.07643,-16.86767
1536315305.07693,-28.4694405
1536315305.07743,-15.9108257
1536315305.07794,25.3346424
1536315305.07844,17.5381584
1536315305.07894,-5.1519584
1536315305.07944,-35.1432113
1536315305.07995,-15.4526806
1536315305.08045,0.506595600000011
1536315305.08095,18.7757835
1536315305.08145,19.2842388
1536315305.08195,-19.9346486
1536315305.08246,-34.7352735
1536315305.08296,-11.7730903
1536315305.08346,8.4032326
1536315305.08396,15.6122208
1536315305.08446,1.4671668
1536315305.08497,-6.05890280000001
1536315305.08547,-13.0334759
1536315305.08597,3.66256139999999
1536315305.08647,11.1697598
1536315305.08697,23.3539906
1536315305.08748,3.000534
1536315305.08798,-28.6267166
1536315305.08848,-18.0340004
1536315305.08898,2.8517494
1536315305.08949,3.67713929999999
1536315305.08999,10.3043441
1536315305.09049,-29.3381443
1536315305.09099,-10.5705814
1536315305.09149,1.1267052
1536315305.092,21.2362709
1536315305.0925,16.941782
1536315305.093,2.43669130000001
1536315305.0935,-5.2257652
1536315305.094,-27.8074246
1536315305.09451,7.8914567
1536315305.09501,29.5083962
1536315305.09551,19.7091865
1536315305.09601,-15.5393258
1536315305.09651,-28.8060875
1536315305.09702,-0.513496400000005
1536315305.09752,13.3366661
1536315305.09802,19.7356473
1536315305.09852,9.1511308
1536315305.09902,-14.3759614
1536315305.09953,-14.864252
1536315305.10003,7.1367455
1536315305.10053,30.3204936
1536315305.10103,6.2394256
1536315305.10153,-11.3376694
1536315305.10204,-21.9818706
1536315305.10254,-17.2068481
1536315305.10304,-2.5843848
1536315305.10354,27.4926071
1536315305.10404,6.8336524
1536315305.10455,-33.058918
1536315305.10505,-19.3333168
1536315305.10555,-12.7733935
1536315305.10605,12.5055389
1536315305.10656,8.9653168
1536315305.10706,-14.8915748
1536315305.10756,-16.5941467
1536315305.10806,-25.7140732
1536315305.10856,18.5158138
1536315305.10907,32.0464972
1536315305.10957,14.3725471
1536315305.11007,8.3605918
1536315305.11057,-25.6520977
1536315305.11107,-16.0201453
1536315305.11158,7.1736107
1536315305.11208,14.7821579
1536315305.11258,-15.3147392
1536315305.11308,-10.1761188
1536315305.11358,-6.2967052
1536315305.11409,4.1198425
1536315305.11459,-2.1717396
1536315305.11509,7.4706917
1536315305.11559,-8.9679775
1536315305.1161,-21.7331848
1536315305.1166,5.33462530000001
1536315305.1171,22.1573372
1536315305.1176,9.68801869999999
1536315305.1181,1.7564354
1536315305.11861,-19.7867661
1536315305.11911,-12.8188306
1536315305.11961,5.5365485
1536315305.12011,6.05236240000001
1536315305.12062,4.268322
1536315305.12112,-2.70491800000001
1536315305.12162,-17.6324405
1536315305.12212,-15.4248809
1536315305.12262,0.507392899999992
1536315305.12313,1.07137299999999
