ts,value
1518618419.00013,-59.26304437
1518618419.00063,-79.594283722
1518618419.00114,-57.780984438
1518618419.00164,-63.74085477
1518618419.00214,-79.40023707
1518618419.00264,-58.676555331
1518618419.00315,-73.112059217
1518618419.00365,-87.10812188
1518618419.00415,-60.97580195
1518618419.00466,-80.52447184
1518618419.00516,-75.82198122
1518618419.00566,-84.74361781
1518618419.00616,-48.52802018
1518618419.00667,-76.41648076
1518618419.00717,-86.5410033
1518618419.00767,-63.10375088
1518618419.00818,-89.333410023
1518618419.00868,-70.04587561
1518618419.00918,-66.28735875
1518618419.00968,-81.18389941
1518618419.01019,-83.5325908
1518618419.01069,-62.26531291
1518618419.01119,-53.97935085
1518618419.0117,-77.752659099
1518618419.0122,-61.3312447
1518618419.0127,-62.59424357
1518618419.0132,-68.66525332
1518618419.01371,-60.420718963
1518618419.01421,-70.11441895
1518618419.01471,-52.38790112
1518618419.01522,-79.70514423
1518618419.01572,-75.9701758
1518618419.01622,-56.21455763
1518618419.01672,-83.39395691
1518618419.01723,-70.25564384
1518618419.01773,-77.49808734
1518618419.01823,-57.43041207
1518618419.01874,-75.65397279
1518618419.01924,-74.636520166
1518618419.01974,-62.582645133
1518618419.02024,-100.75859162
1518618419.02075,-72.99482107
1518618419.02125,-72.75936744
1518618419.02175,-74.50964856
1518618419.02226,-74.220954189
1518618419.02276,-80.817441393
1518618419.02326,-71.19995024
1518618419.02376,-81.82296978
1518618419.02427,-62.62812511
1518618419.02477,-81.1105309
1518618419.02527,-83.938208148
1518618419.02578,-53.9966716
1518618419.02628,-55.728407178
1518618419.02678,-58.1392613
1518618419.02728,-77.05371851
1518618419.02779,-60.56706817
1518618419.02829,-69.212164732
1518618419.02879,-81.53173276
1518618419.0293,-67.65724209
1518618419.0298,-81.64366868
1518618419.0303,-59.25224282
1518618419.0308,-67.72969317
1518618419.03131,-73.32008453
1518618419.03181,-61.87940261
1518618419.03231,-94.27197606
1518618419.03282,-56.94617035
1518618419.03332,-78.90668635
1518618419.03382,-61.28381109
1518618419.03432,-77.605937732
1518618419.03483,-75.34249427
1518618419.03533,-52.81505821
1518618419.03583,-56.144140774
1518618419.03634,-69.77673636
1518618419.03684,-78.545328157
1518618419.03734,-86.2990637
1518618419.03784,-60.01343202
1518618419.03835,-78.40232077
1518618419.03885,-75.56759983
1518618419.03935,-71.72193003
1518618419.03986,-62.443391331
1518618419.04036,-60.24057196
1518618419.04086,-73.29153025
1518618419.04136,-61.171877588
1518618419.04187,-78.3994234
1518618419.04237,-72.57411671
1518618419.04287,-65.71233446
1518618419.04338,-59.746623579
1518618419.04388,-57.96970927
1518618419.04438,-79.442787399
1518618419.04488,-76.11505792
1518618419.04539,-85.59672744
1518618419.04589,-74.51458866
1518618419.04639,-70.59988668
1518618419.0469,-78.13096472
1518618419.0474,-56.72805023
1518618419.0479,-75.907438193
1518618419.0484,-63.3580340418
1518618419.04891,-63.14224089
1518618419.04941,-87.78361839
1518618419.04991,-66.11587188
1518618419.05042,-63.60391162
1518618419.05092,-75.70588782
1518618419.05142,-65.249518239
1518618419.05192,-66.04642434
1518618419.05243,-73.91652316
1518618419.05293,-83.16356655
1518618419.05343,-54.11980339
1518618419.05394,-73.5500346
1518618419.05444,-65.86320785
1518618419.05494,-73.34778113
1518618419.05544,-67.58315802
1518618419.05595,-56.49661755
1518618419.05645,-86.93568417
1518618419.05695,-67.99651386
1518618419.05746,-69.153670491
1518618419.05796,-62.32065658
1518618419.05846,-76.1905658
1518618419.05897,-80.96468711
1518618419.05947,-56.68827222
1518618419.05997,-88.41159393
1518618419.06047,-75.07411015
1518618419.06098,-72.60708781
1518618419.06148,-83.763292387
1518618419.06198,-74.73472997
1518618419.06249,-86.79575623
1518618419.06299,-71.3169048026
1518618419.06349,-68.39656502
1518618419.06399,-75.596247669
1518618419.0645,-69.7209622
1518618419.065,-67.699828229
1518618419.0655,-64.36526486
1518618419.066,-71.4854412
1518618419.06651,-69.594485813
1518618419.06701,-74.03844139
1518618419.06751,-65.019628025
1518618419.06802,-79.706716135
1518618419.06852,-58.5607802739
1518618419.06902,-71.2716834926
1518618419.06953,-79.81418162
1518618419.07003,-70.742001243
1518618419.07053,-81.374740774
1518618419.07103,-63.594910745
1518618419.07154,-69.93383027
1518618419.07204,-80.75162362
1518618419.07254,-48.16544827
1518618419.07305,-81.26931915
