ts,value
1518618491.00019,-83.3514281
1518618491.00069,-76.51496121
1518618491.00119,-93.5977631
1518618491.0017,-81.2219887
1518618491.0022,-81.9603472
1518618491.0027,-86.5880365
1518618491.00321,-81.8655524
1518618491.00371,-63.8738423
1518618491.00421,-89.1173993
1518618491.00471,-68.71675964
1518618491.00522,-76.06929108
1518618491.00572,-86.70386414
1518618491.00622,-105.6394176
1518618491.00673,-95.4344921
1518618491.00723,-64.07715076
1518618491.00773,-64.55515584
1518618491.00824,-63.91016405
1518618491.00874,-74.22414112
1518618491.00924,-95.4235678
1518618491.00975,-78.9087926
1518618491.01025,-79.6138725
1518618491.01075,-72.41495897
1518618491.01125,-65.55685335
1518618491.01176,-97.0216675
1518618491.01226,-72.7581435
1518618491.01276,-73.21488991
1518618491.01327,-78.0407266
1518618491.01377,-70.22444247
1518618491.01427,-83.23217198
1518618491.01478,-87.75728467
1518618491.01528,-86.33539104
1518618491.01578,-83.20120344
1518618491.01629,-73.21787029
1518618491.01679,-93.3657437
1518618491.01729,-80.5092973
1518618491.0178,-78.75590146
1518618491.0183,-80.1411342
1518618491.0188,-78.53841693
1518618491.0193,-85.4253998
1518618491.01981,-68.43458367
1518618491.02031,-82.04907089
1518618491.02081,-77.0377608
1518618491.02132,-77.56219667
1518618491.02182,-78.68457612
1518618491.02232,-84.7319116
1518618491.02283,-89.0063858
1518618491.02333,-79.3128577
1518618491.02383,-76.4827165
1518618491.02434,-73.23921896
1518618491.02484,-76.5615301
1518618491.02534,-72.601449
1518618491.02585,-87.2288971
1518618491.02635,-81.0276528
1518618491.02685,-54.26503659
1518618491.02736,-78.38018708
1518618491.02786,-91.4346142
1518618491.02836,-75.7043132
1518618491.02887,-77.87109029
1518618491.02937,-81.41145808
1518618491.02987,-79.834014
1518618491.03037,-95.755186
1518618491.03088,-76.67796227
1518618491.03138,-78.35460565
1518618491.03188,-73.4600859
1518618491.03239,-82.5173053
1518618491.03289,-97.2916069
1518618491.03339,-88.4081745
1518618491.0339,-81.114111
1518618491.0344,-59.5491438
1518618491.0349,-85.5113106
1518618491.03541,-75.33233365
1518618491.03591,-61.34688661
1518618491.03641,-84.0554542
1518618491.03692,-83.34424307
1518618491.03742,-56.49074508
1518618491.03792,-78.12362772
1518618491.03842,-71.63401034
1518618491.03893,-81.6589575
1518618491.03943,-93.8866577
1518618491.03993,-66.90836761
1518618491.04044,-67.86428834
1518618491.04094,-76.29306407
1518618491.04144,-80.7383069
1518618491.04195,-62.80229899
1518618491.04245,-66.83437537
1518618491.04295,-66.83211904
1518618491.04346,-80.4112988
1518618491.04396,-47.21121021
1518618491.04446,-79.3635798
1518618491.04497,-66.67496059
1518618491.04547,-86.52072808
1518618491.04597,-89.83683787
